assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,55,0,0,1,18,0,0,44,16.8,7,0,334,0,0,6,1,1,0,3.2,334,13.4,1,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,90,0,0,12,0,0,0,0,2,0,1,0,10494,3,2,0,1,1,2.0,3,0,0,0,50,False,0,0
0,13,0,0,0,5,0,0,11,2.6,2,0,334,0,0,14,0,2,0,1.0,859,1.8,0,2016-08-20T11:30:00Z,20 Aug 12:30,0,0,71,0,0,10,0,0,0,0,3,0,2,0,13366,5,1,1,4,1,6.0,2,245,1260,1015,50,True,0,0
0,41,0,0,0,14,0,1,39,7.3,5,0,334,0,0,23,0,1,0,2.0,1399,7.4,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,77,0,0,6,0,0,0,0,5,0,3,0,14062,5,1,1,0,1,5.0,2,-311,1503,1814,50,False,0,0
0,35,0,0,0,13,0,0,32,8.7,1,0,334,0,0,37,0,4,0,1.1,1949,1.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,70,0,1,17,0,0,0,0,5,0,4,0,12926,1,0,1,4,0,1.0,2,-1538,747,2285,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,47,0,0,0,0.0,2530,0.0,0,2016-09-18T13:15:00Z,18 Sep 14:15,0,0,0,0,0,5,0,0,0,0,0,0,5,0,11736,0,0,0,1,4,0.0,0,-1297,224,1521,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,56,0,0,0,0.0,3114,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,6,0,10155,0,0,0,1,1,0.0,0,-1655,128,1783,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,65,0,0,0,0.0,3700,0.0,0,2016-10-02T11:00:00Z,02 Oct 12:00,0,0,0,0,0,11,0,0,0,0,0,0,7,0,9229,0,0,0,1,1,0.0,0,-957,46,1003,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,79,0,0,0,0.0,4289,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,15,0,0,0,0,0,0,8,0,8646,0,0,0,0,2,0.0,0,-626,56,682,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,85,0,0,0,0.0,4881,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,9,0,8121,0,0,0,2,0,0.0,0,-549,38,587,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,334,0,0,96,0,0,0,0.0,5475,0.0,0,2016-10-31T20:00:00Z,31 Oct 20:00,0,0,0,0,0,16,0,0,0,0,0,0,10,0,7806,0,0,0,1,3,0.0,0,-328,24,352,47,True,0,0
