assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,3,0.0,0,0,0.0,513.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,1,1,0.0,0,0,0,0,45,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,16,0.0,0,0,0.0,1038.0,0.0,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,2,0,272,0.0,0.0,0.0,0,1,0.0,0,39,60,21,45,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,27,0.0,0,0,0.0,1578.0,0.0,0.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,1,0.0,0.0,9,0,0.0,0,0,0.0,0,3,0,478,0.0,0.0,0.0,1,1,0.0,1,48,104,56,45,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,37,0.0,0,0,0.0,2128.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,4,0,563,0.0,0.0,0.0,4,0,0.0,0,-8,66,74,45,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,49,0.0,0,0,0.0,2709.0,0.0,0.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,5,0,591,0.0,0.0,0.0,0,1,0.0,0,-3,32,35,45,True,0.0,0,,,,,
0,7.0,0.0,0.0,0,3,0,0.0,5.0,0.4,1.0,0.0,513,0.0,0.0,55,0.0,0,0,0.1,3293.0,0.8,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,5,0.0,0.0,12,0,0.0,0,0,1.0,0,6,0,595,1.0,0.0,0.0,2,1,0.0,1,-28,27,55,45,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,68,0.0,0,0,0.0,3879.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,7,0,627,0.0,0.0,0.0,0,2,0.0,0,4,34,30,45,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,80,0.0,0,0,0.0,4468.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,8,0,666,0.0,0.0,0.0,1,1,0.0,0,5,28,23,45,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,513,0.0,0.0,82,0.0,0,0,0.0,5060.0,0.0,0.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,9,0,676,0.0,0.0,0.0,0,0,0.0,0,-6,16,22,45,False,0.0,0,,,,,
0,5.0,0.0,0.0,0,2,0,0.0,3.0,0.3,0.0,0.0,513,0.0,0.0,98,1.0,0,0,0.0,5654.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,4,0.0,0.0,8,0,0.0,0,0,0.0,0,10,0,678,0.0,0.0,0.0,1,1,0.0,1,-9,12,21,45,True,0.0,0,,,,,
