assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,402,0.0,0.0,3,0.0,0,0,0.0,402.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,1,0,1534,0.0,0.0,0.0,1,1,0.0,0,0,0,0,75,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,402,0.0,0.0,16,0.0,0,0,0.0,927.0,0.0,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,2,0,1442,0.0,0.0,0.0,0,1,0.0,0,-277,23,300,75,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,402,0.0,0.0,27,0.0,0,0,0.0,1467.0,0.0,0.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,3,0,1338,0.0,0.0,0.0,1,1,0.0,0,-199,31,230,74,True,0.0,0
1,37.0,1.0,0.0,3,58,1,0.0,32.0,40.2,1.0,0.0,402,0.0,0.0,37,0.0,0,2,17.8,2017.0,89.8,3.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,6.0,0,4,0,1294,8.0,0.0,1.0,4,0,48.0,19,-118,29,147,74,False,1.0,0
0,41.0,0.0,0.0,0,11,1,0.0,37.0,84.4,4.0,0.0,402,0.0,0.0,49,0.0,0,0,18.4,2598.0,18.4,5.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,90,0.0,2.0,15,0,0.0,0,0,3.0,0,5,0,25194,10.0,0.0,3.0,0,1,81.0,3,21282,23815,2533,74,True,0.0,0
0,43.0,0.0,0.0,3,54,0,0.0,39.0,34.0,7.0,0.0,402,0.0,0.0,55,2.0,1,2,19.8,3182.0,82.0,2.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,1.0,0.0,12,0,0.0,0,0,9.0,0,6,0,44821,8.0,1.0,0.0,2,1,82.0,15,16541,23624,7083,74,False,1.0,0
1,27.0,0.0,0.0,0,9,1,0.0,18.0,31.1,3.0,0.0,402,0.0,0.0,68,0.0,0,0,10.0,3768.0,19.2,2.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,89,5.0,0.0,10,0,0.0,0,0,3.0,0,7,0,199595,5.0,0.0,2.0,0,2,50.0,6,145454,154150,8696,75,True,0.0,0
0,13.0,0.0,0.0,0,5,0,2.0,11.0,12.1,0.0,0.0,402,0.0,0.0,80,0.0,1,0,2.9,4357.0,4.8,1.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,19,0.0,0.0,19,0,0.0,0,0,1.0,0,8,0,545569,0.0,0.0,0.0,1,1,12.0,1,328594,334925,6331,77,False,0.0,0
0,12.0,0.0,0.0,0,3,1,0.0,9.0,11.3,0.0,0.0,402,0.0,0.0,82,1.0,0,0,3.3,4949.0,0.0,1.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,61,2.0,0.0,2,0,0.0,0,0,0.0,0,9,0,514774,1.0,0.0,0.0,0,0,22.0,3,-37010,37252,74262,77,False,0.0,0
0,33.0,0.0,0.0,0,4,0,1.0,28.0,29.3,2.0,0.0,402,0.0,0.0,98,1.0,1,0,6.0,5543.0,9.4,2.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,2.0,0.0,8,0,0.0,0,0,1.0,0,10,0,469659,5.0,1.0,1.0,1,1,21.0,1,-49083,25297,74380,76,True,0.0,1
0,32.0,0.0,0.0,0,8,0,0.0,23.0,4.3,1.0,0.0,402,0.0,0.0,101,0.0,1,0,1.0,6141.0,1.2,0.0,2016-11-06T12:00:00Z,06 Nov 12:00,0.0,0.0,88,0.0,0.0,1,0,0.0,0,0,4.0,0,11,0,316273,2.0,0.0,0.0,1,1,4.0,2,-155117,10214,165331,74,False,0.0,0
2,12.0,0.0,0.0,0,19,0,0.0,5.0,1.0,0.0,0.0,402,0.0,0.0,118,0.0,0,0,0.2,6740.0,0.0,0.0,2016-11-19T17:30:00Z,19 Nov 17:30,0.0,0.0,19,0.0,0.0,20,0,0.0,0,0,2.0,0,12,0,264111,2.0,0.0,0.0,2,3,2.0,7,-54541,15593,70134,73,True,0.0,0
