assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,5,0,1,2,25,0,0,3,1.1,0,0,355,0,0,5,3,1,1,6.9,355,34.0,0,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,82,1,0,10,0,0,0,0,0,0,1,0,127529,0,1,0,1,2,34.0,8,0,0,0,70,False,0,0
0,12,0,0,0,3,0,0,11,4.8,1,0,355,0,0,19,0,2,0,3.7,880,0.0,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,90,1,0,12,0,0,0,0,1,0,2,0,291534,2,0,1,2,1,34.0,2,87440,95778,8338,71,True,0,0
0,10,0,0,3,28,0,3,7,0.9,1,0,355,0,0,26,1,1,1,8.1,1420,40.6,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,90,0,0,13,0,0,0,0,2,0,3,0,287948,3,0,0,1,1,39.0,9,-18506,26844,45350,71,False,0,0
0,20,0,1,0,1,0,0,16,3.2,1,0,355,0,0,40,0,3,0,6.3,1970,0.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,90,0,0,6,0,0,0,0,4,0,4,0,449883,3,0,1,3,0,60.0,2,136037,165185,29148,72,True,0,0
0,9,0,1,0,1,0,0,8,0.9,0,0,355,0,0,49,1,1,0,2.8,2551,1.6,0,2016-09-18T15:30:00Z,18 Sep 16:30,0,0,90,0,0,17,0,0,0,0,0,0,5,0,424824,1,0,0,0,1,25.0,2,-30501,25882,56383,72,False,0,0
0,11,0,1,3,46,0,1,9,3.2,1,0,355,0,0,57,1,3,2,14.3,3135,66.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,2,0,5,0,0,0,0,4,0,6,0,345266,2,0,2,3,2,74.0,13,-81504,14827,96331,71,True,0,0
0,8,0,1,0,2,0,0,7,11.9,1,0,355,0,0,66,1,1,0,4.5,3721,4.2,1,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,90,0,0,19,0,0,0,0,1,0,7,0,501704,4,2,2,1,1,29.0,2,147207,161538,14331,72,True,0,0
0,7,0,0,0,1,0,0,6,0.6,0,0,355,0,0,79,1,2,0,4.2,4310,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,1,0,14,0,0,0,0,1,0,8,0,554074,2,0,1,0,2,44.0,2,44922,75140,30218,73,False,0,0
0,6,0,0,0,2,0,0,4,0.5,1,0,355,0,0,90,1,1,0,4.1,4902,0.2,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,1,0,20,0,0,0,0,2,0,9,0,554380,2,0,1,0,1,40.0,2,-3236,44222,47458,73,False,0,0
0,12,0,0,1,26,0,0,10,1.3,0,0,355,0,0,97,1,4,1,5.5,5496,34.4,0,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,90,3,0,1,0,0,0,0,1,0,10,0,520088,2,1,0,4,1,19.0,7,-36889,22190,59079,73,True,0,0
