assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,291,0.0,0,0,0.0,17328.0,0.0,0.0,2018-03-11T13:30:00Z,11 Mar 13:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,30,0,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,311,0.0,0,0,0.0,18229.0,0.0,0.0,2018-04-01T12:30:00Z,01 Apr 13:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,32,0,69,0.0,0.0,0.0,0,3,0.0,0,17,34,17,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,321,0.0,0,0,0.0,18866.0,0.0,0.0,2018-04-08T13:15:00Z,08 Apr 14:15,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,33,0,85,0.0,0.0,0.0,2,3,0.0,0,3,25,22,45,True,0.0,0
0,34.0,0.0,0.0,0,6,0,2.0,28.0,2.8,0.0,0.0,634,0.0,0.0,336,3.0,1,0,1.3,19739.0,5.8,0.0,2018-04-15T12:30:00Z,15 Apr 13:30,0.0,0.0,67,0.0,0.0,13,0,0.0,0,0,0.0,0,34,0,152,1.0,0.0,1.0,1,2,4.0,2,32,53,21,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,341,0.0,0,0,0.0,20150.0,0.0,0.0,2018-04-22T12:30:00Z,22 Apr 13:30,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,35,0,179,0.0,0.0,0.0,1,4,0.0,0,12,30,18,45,True,0.0,0
0,4.0,0.0,0.0,0,2,0,1.0,3.0,3.0,0.0,0.0,634,0.0,0.0,355,0.0,1,0,0.5,20791.0,2.4,0.0,2018-04-29T15:30:00Z,29 Apr 16:30,0.0,0.0,14,0.0,0.0,12,0,0.0,0,0,1.0,0,36,0,182,1.0,0.0,0.0,1,2,0.0,1,12,21,9,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,361,0.0,0,0,0.0,21804.0,0.0,0.0,2018-05-06T15:30:00Z,06 May 16:30,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,37,0,221,0.0,0.0,0.0,0,5,0.0,0,21,37,16,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,304,0.0,0,0,0.0,21803.0,0.0,0.0,2018-05-09T18:45:00Z,09 May 19:45,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,37,0,221,0.0,0.0,0.0,1,3,0.0,0,21,37,16,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,373,0.0,0,0,0.0,22455.0,0.0,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,38,0,233,0.0,0.0,0.0,1,0,0.0,0,7,25,18,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,181,0.0,0,0,0.0,10391.0,0.0,0.0,2018-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,19,0,0,0.0,0.0,0.0,1,1,0.0,0,0,0,0,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,196,0.0,0,0,0.0,10959.0,0.0,0.0,2018-12-29T17:30:00Z,29 Dec 17:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,20,0,32,0.0,0.0,0.0,1,5,0.0,0,18,26,8,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,201,0.0,0,0,0.0,11527.0,0.0,0.0,2019-01-01T15:00:00Z,01 Jan 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,21,0,64,0.0,0.0,0.0,1,4,0.0,0,11,41,30,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,220,0.0,0,0,0.0,12097.0,0.0,0.0,2019-01-12T12:30:00Z,12 Jan 12:30,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,22,0,147,0.0,0.0,0.0,0,1,0.0,0,38,90,52,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,221,0.0,0,0,0.0,12671.0,0.0,0.0,2019-01-19T17:30:00Z,19 Jan 17:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,23,0,171,0.0,0.0,0.0,0,2,0.0,0,3,40,37,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,231,0.0,0,0,0.0,13250.0,0.0,0.0,2019-01-29T19:45:00Z,29 Jan 19:45,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,24,0,200,0.0,0.0,0.0,1,2,0.0,0,14,54,40,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,248,0.0,0,0,0.0,13890.0,0.0,0.0,2019-02-03T16:30:00Z,03 Feb 16:30,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,25,0,203,0.0,0.0,0.0,1,3,0.0,0,-10,17,27,45,False,0.0,0
0,0.0,0.0,0.0,0,3,0,1.0,0.0,0.0,0.0,0.0,566,0.0,0.0,254,0.0,1,0,0.1,14487.0,1.0,0.0,2019-02-09T15:00:00Z,09 Feb 15:00,0.0,0.0,2,0.0,0.0,10,0,0.0,0,0,0.0,0,26,0,235,0.0,0.0,0.0,2,1,0.0,1,13,41,28,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,261,0.0,0,0,0.0,14974.0,0.0,0.0,2019-02-24T14:05:00Z,24 Feb 14:05,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,27,0,284,0.0,0.0,0.0,0,2,0.0,0,14,34,20,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,271,0.0,0,0,0.0,15571.0,0.0,0.0,2019-02-27T19:45:00Z,27 Feb 19:45,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,28,0,304,0.0,0.0,0.0,1,5,0.0,0,8,18,10,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,287,0.0,0,0,0.0,16176.0,0.0,0.0,2019-03-02T12:30:00Z,02 Mar 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,29,0,309,0.0,0.0,0.0,1,1,0.0,0,2,16,14,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,291,0.0,0,0,0.0,16782.0,0.0,0.0,2019-03-10T16:30:00Z,10 Mar 16:30,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,30,0,302,0.0,0.0,0.0,0,2,0.0,0,-12,14,26,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,311,0.0,0,0,0.0,17971.0,0.0,0.0,2019-04-01T19:00:00Z,01 Apr 20:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,32,0,349,0.0,0.0,0.0,0,2,0.0,0,14,29,15,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,323,0.0,0,0,0.0,18377.0,0.0,0.0,2019-04-07T13:05:00Z,07 Apr 14:05,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,33,0,370,0.0,0.0,0.0,0,1,0.0,0,13,25,12,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,340,0.0,0,0,0.0,19028.0,0.0,0.0,2019-04-15T19:00:00Z,15 Apr 20:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,34,0,371,0.0,0.0,0.0,1,0,0.0,0,-4,16,20,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,341,0.0,0,0,0.0,19871.0,0.0,0.0,2019-04-21T15:00:00Z,21 Apr 16:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,35,0,373,0.0,0.0,0.0,3,2,0.0,0,-6,11,17,45,True,0.0,0
