assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,2,0,0,0,2,0,0,1,0.1,0,0,185,0,0,4,1,0,0,0.0,185,0.0,0,2016-08-13T11:30:00Z,13 Aug 12:30,0,0,8,0,0,7,0,0,0,0,0,0,1,0,9918,0,0,0,1,2,0.0,1,0,0,0,60,False,0,0
0,16,0,0,0,5,0,0,13,1.3,0,0,185,0,0,13,0,0,0,0.6,710,2.4,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,24,0,0,1,0,0,0,0,5,0,2,0,9602,1,1,0,0,0,2.0,1,-1386,242,1628,60,True,0,0
0,11,0,0,0,2,0,1,10,1.6,0,0,185,0,0,25,0,1,0,0.5,1250,1.4,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,11,0,0,16,0,0,0,0,0,0,3,0,8691,1,0,0,1,2,2.0,1,-1422,410,1832,59,True,0,0
0,17,0,0,0,1,0,0,14,4.6,0,0,185,0,0,34,0,1,0,0.8,1800,0.0,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,26,0,0,9,0,0,0,0,1,0,4,0,7968,2,0,0,1,4,4.0,1,-1045,305,1350,59,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,44,0,0,0,0.0,2381,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,3,0,0,0,0,0,0,5,0,7698,0,0,0,0,3,0.0,0,-482,389,871,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,54,0,0,0,0.0,2965,0.0,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,0,0,0,11,0,0,0,0,0,0,6,0,7273,0,0,0,1,4,0.0,0,-595,298,893,58,False,0,0
0,6,0,0,0,0,0,0,2,1.2,0,0,185,0,0,64,1,0,0,0.1,3551,0.0,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,13,1,0,13,0,0,0,0,0,0,7,0,6909,0,0,1,0,0,3.0,1,-466,210,676,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,73,0,0,0,0.0,4140,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,0,0,0,4,0,0,0,0,0,0,8,0,6776,0,0,0,0,3,0.0,0,-294,209,503,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,86,0,0,0,0.0,4732,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,5,0,0,0,0,0,0,9,0,6653,0,0,0,1,3,0.0,0,-206,177,383,57,True,0,0
0,10,0,0,0,2,0,2,7,2.3,0,0,185,0,0,98,0,0,0,1.3,5326,1.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,13,0,0,17,0,0,0,0,0,0,10,0,6510,1,0,1,1,1,10.0,1,-221,144,365,56,False,0,0
0,5,0,0,0,1,0,0,2,0.3,0,0,185,0,0,106,1,0,0,0.0,5924,0.0,0,2016-11-06T16:30:00Z,06 Nov 16:30,0,0,4,1,0,19,0,0,0,0,0,0,11,0,6603,0,0,0,2,1,0.0,1,-3,342,345,56,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,119,0,0,0,0.0,6523,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,18,0,0,0,0,0,0,12,0,6699,0,0,0,1,2,0.0,0,-58,278,336,56,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,125,0,0,0,0.0,7124,0.0,0,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,0,0,0,12,0,0,0,0,0,0,13,0,6570,0,0,0,2,2,0.0,0,-173,83,256,56,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,137,0,0,0,0.0,7728,0.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,14,0,6424,0,0,0,1,2,0.0,0,-194,81,275,56,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,145,0,0,0,0.0,8333,0.0,0,2016-12-10T17:30:00Z,10 Dec 17:30,0,0,0,0,0,10,0,0,0,0,0,0,15,0,6310,0,0,0,2,4,0.0,0,-157,101,258,56,True,0,0
0,6,0,1,0,0,0,0,4,11.6,0,0,185,0,0,151,1,0,0,5.3,8943,4.4,1,2016-12-13T19:45:00Z,13 Dec 19:45,0,0,9,0,0,2,0,0,0,0,0,0,16,0,6261,0,0,0,0,1,37.0,1,-87,61,148,55,False,0,0
0,9,0,0,1,27,0,0,4,0.1,0,0,185,0,0,166,0,0,1,7.4,9557,33.0,0,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,19,0,0,14,0,0,0,0,0,0,17,0,6289,0,0,0,2,2,41.0,6,-30,100,130,55,False,0,0
0,11,0,1,0,-2,0,0,7,1.8,0,0,185,0,0,175,2,1,0,2.6,10173,3.2,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,26,0,0,6,0,0,0,0,3,0,18,0,8854,1,0,0,2,0,21.0,1,2244,2594,350,55,True,0,0
0,8,0,0,0,0,0,1,4,0.6,0,0,185,0,0,185,0,0,0,1.0,10791,1.4,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,8,0,0,20,0,0,0,0,2,0,19,0,8470,3,0,0,0,1,8.0,1,-496,340,836,55,True,0,0
0,43,0,0,0,5,1,1,26,14.5,1,0,185,0,0,195,3,0,0,6.9,11413,7.4,1,2017-01-02T12:30:00Z,02 Jan 12:30,0,0,90,0,0,12,0,0,0,0,3,0,20,0,8057,4,2,1,0,0,47.0,2,-461,217,678,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,204,0,0,0,0.0,12037,0.0,0,2017-01-14T17:30:00Z,14 Jan 17:30,0,0,0,0,0,4,0,0,0,0,0,0,21,0,7371,0,0,0,3,0,0.0,0,-790,294,1084,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,218,0,0,0,0.0,12668,0.0,0,2017-01-22T12:00:00Z,22 Jan 12:00,0,0,0,0,0,13,0,0,0,0,0,0,22,0,6865,0,0,0,0,3,0.0,0,-522,53,575,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,223,0,0,0,0.0,13302,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,3,0,0,0,0,0,0,23,0,6560,0,0,0,0,1,0.0,0,-314,34,348,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,235,0,0,0,0.0,13945,0.0,0,2017-02-05T16:00:00Z,05 Feb 16:00,0,0,0,0,0,11,0,0,0,0,0,0,24,0,6410,0,0,0,3,0,0.0,0,-154,19,173,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,249,0,0,0,0.0,14594,0.0,0,2017-02-12T16:00:00Z,12 Feb 16:00,0,0,0,0,0,16,0,0,0,0,0,0,25,0,6241,0,0,0,0,2,0.0,0,-176,15,191,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,255,0,0,0,0.0,15216,0.0,0,2017-02-27T20:00:00Z,27 Feb 20:00,0,0,0,0,0,9,0,0,0,0,0,0,26,0,6130,0,0,0,1,3,0.0,0,-118,22,140,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,261,0,0,0,0.0,15771,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,7,0,0,0,0,0,0,27,0,6134,0,0,0,1,3,0.0,0,-12,49,61,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,290,0,0,0,0.0,16741,0.0,0,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,0,0,0,20,0,0,0,0,0,0,29,0,6146,0,0,0,3,2,0.0,0,-4,39,43,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,295,0,0,0,0.0,17395,0.0,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,0,0,0,14,0,0,0,0,0,0,30,0,6189,0,0,0,0,2,0.0,0,-3,50,53,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,185,0,0,304,0,0,0,0.0,18052,0.0,0,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,0,0,0,15,0,0,0,0,0,0,31,0,6194,0,0,0,0,2,0.0,0,-4,32,36,55,True,0,0
0,4,0,0,0,1,0,0,4,1.8,0,0,185,0,0,313,2,0,0,5.3,18713,0.0,0,2017-04-09T15:00:00Z,09 Apr 16:00,0,0,13,0,0,6,0,0,0,0,1,0,32,0,6194,0,0,0,2,4,51.0,1,-12,32,44,55,False,0,0
0,39,0,0,0,5,0,3,26,5.8,2,0,185,0,0,321,6,2,0,4.6,19375,6.0,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,90,0,0,5,0,0,0,0,7,0,33,0,6216,3,2,1,2,2,34.0,2,5,56,51,55,False,0,0
0,38,0,0,0,7,1,2,31,4.2,1,0,185,0,0,271,2,0,0,0.7,20061,0.6,0,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,69,2,0,1,0,0,0,0,6,0,34,0,6255,3,0,0,0,1,2.0,2,15,73,58,55,False,0,0
0,10,0,0,0,0,0,0,8,3.9,0,0,185,0,0,350,1,0,0,0.3,20778,0.0,0,2017-04-29T14:00:00Z,29 Apr 15:00,0,0,24,0,0,19,0,0,0,0,5,0,35,0,6371,3,0,0,1,0,0.0,1,100,138,38,55,False,0,0
