assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0.0,195,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,51620,3,4,0.0,0,0,0,0,45,False,0,,,,,
0,0,14,0,0.4,195,13,3,0,1.4,13.4,2020-09-19T14:00:00Z,90,8,0,0,0,0,2,0,40527,3,4,0.0,1,-12336,844,13180,45,True,0,,,,,
0,0,25,1,0.4,195,25,0,0,3.3,29.0,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,0,44778,1,0,4.0,6,1272,9477,8205,44,False,0,,,,,
0,1,20,0,0.6,195,33,1,0,3.9,36.0,2020-10-03T16:30:00Z,90,12,0,0,0,0,4,0,53096,1,1,2.0,3,5970,11426,5456,44,True,0,,,,,
0,0,0,0,0.0,195,42,0,0,0.0,0.0,2020-10-19T19:00:00Z,0,20,0,0,0,0,5,0,57184,1,0,0.0,0,2701,14449,11748,44,True,0,,,,,
0,0,0,0,0.0,195,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,2,0,0,0,0,6,0,50252,3,0,0.0,0,-6553,1284,7837,44,False,0,,,,,
0,0,18,0,1.1,195,62,4,0,2.0,19.2,2020-11-02T20:00:00Z,90,9,0,0,0,0,7,0,45776,4,1,0.0,0,-5108,547,5655,44,True,0,,,,,
0,0,17,0,1.0,195,72,4,0,2.2,17.4,2020-11-07T15:00:00Z,90,6,0,0,0,0,8,0,44162,1,4,4.0,-1,-1880,861,2741,44,False,1,,,,,
0,0,23,1,2.3,195,82,0,0,2.3,16.4,2020-11-22T16:30:00Z,90,1,0,0,0,0,9,0,41428,0,0,4.0,5,-2826,487,3313,44,True,1,,,,,
0,0,26,1,0.1,195,93,0,0,1.5,12.4,2020-11-28T17:30:00Z,90,7,0,0,0,0,10,0,41229,1,0,2.0,5,-572,711,1283,44,False,1,,,,,
0,0,17,0,0.3,195,102,3,0,2.8,28.0,2020-12-05T20:00:00Z,90,5,0,0,0,0,11,0,41215,1,3,0.0,1,-191,1077,1268,44,False,0,,,,,
0,0,20,0,0.9,195,113,2,0,3.0,23.2,2020-12-11T20:00:00Z,90,19,0,0,0,0,12,0,42730,2,1,6.0,1,924,2272,1348,44,True,0,,,,,
0,0,16,0,0.3,195,122,2,0,3.9,19.8,2020-12-16T18:00:00Z,90,14,0,0,0,0,13,0,43279,2,5,19.0,1,445,1894,1449,44,True,0,,,,,
0,0,27,0,0.3,195,134,6,1,8.2,64.2,2020-12-20T16:30:00Z,71,13,0,0,0,0,14,0,42277,2,6,17.0,5,-990,844,1834,44,False,0,,,,,
0,0,0,0,0.0,195,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,4,0,0,0,0,15,0,37861,0,1,0.0,0,-4398,1293,5691,44,True,0,,,,,
0,0,0,0,0.0,195,158,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,18,0,0,0,0,16,0,33690,5,0,0.0,0,-4272,38,4310,44,False,0,,,,,
0,0,0,0,0.0,195,167,0,0,0.0,0.0,2021-01-02T12:30:00Z,0,17,0,0,0,0,17,0,29956,0,3,0.0,0,-3813,173,3986,43,False,0,,,,,
0,0,21,0,1.3,195,182,1,0,5.6,36.0,2021-01-16T15:00:00Z,90,3,0,0,0,0,19,0,29510,1,0,19.0,2,783,2286,1503,43,True,0,,,,,
0,0,13,0,0.3,195,196,1,0,2.3,22.6,2021-01-26T18:00:00Z,90,14,0,0,0,0,20,0,29923,2,1,0.0,2,326,1983,1657,43,False,0,,,,,
0,0,21,0,0.6,195,204,1,0,10.3,37.8,2021-01-31T14:00:00Z,90,9,0,0,0,0,21,0,29747,3,1,65.0,2,-231,931,1162,43,False,0,,,,,
0,0,23,0,0.5,195,212,2,0,2.3,18.2,2021-02-03T19:30:00Z,90,7,0,0,0,0,22,0,30148,2,1,4.0,1,288,1031,743,43,True,0,,,,,
0,1,32,1,0.3,195,222,0,0,3.0,25.6,2021-02-08T20:00:00Z,90,6,0,0,0,0,23,0,30416,0,2,4.0,7,103,1075,972,43,True,0,,,,,
0,0,21,0,0.8,195,229,4,0,2.9,28.6,2021-02-14T16:30:00Z,90,1,0,0,0,0,24,0,31709,2,4,0.0,0,1055,2254,1199,43,False,0,,,,,
0,0,3,0,0.4,195,248,1,0,11.9,30.2,2021-02-19T20:00:00Z,90,20,0,0,0,0,25,0,34150,0,1,88.0,2,2299,3568,1269,43,False,0,,,,,
0,0,27,1,0.5,195,172,0,0,4.7,27.6,2021-02-23T18:00:00Z,90,16,0,0,0,0,25,0,34150,0,3,19.0,6,2299,3568,1269,43,True,0,,,,,
0,0,16,0,1.4,195,252,1,0,2.6,24.2,2021-02-27T17:30:00Z,90,2,0,0,0,0,26,0,35535,1,0,0.0,2,1149,3784,2635,43,True,0,,,,,
