assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,26,0,0,0,7,0,0,18,8.3,0,0,549,0,0,31,0,1,0,3.6,2164,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,61,0,0,13,0,0,0,0,3,0,4,0,24146,0,0,0,1,2,28.0,2,21933,26278,4345,85,True,0,0
0,3,0,0,0,5,0,1,3,1.5,0,0,549,0,0,43,0,0,0,0.5,2745,3.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,3,0,0,7,0,0,0,0,0,0,5,0,21103,0,1,0,4,1,0.0,1,-3802,3010,6812,85,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,51,0,0,0,0.0,3329,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,4,0,0,0,0,0,0,6,0,16228,0,0,0,0,3,0.0,0,-5600,3778,9378,83,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,61,0,0,0,0.0,3915,0.0,0,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,0,0,0,3,0,0,0,0,0,0,7,0,11391,0,0,0,1,0,0.0,0,-5151,1174,6325,82,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,71,0,0,0,0.0,4504,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,8,0,7504,0,0,0,2,3,0.0,0,-4061,387,4448,80,True,0,0
0,14,0,0,0,3,0,0,11,14.0,0,0,549,0,0,81,0,0,0,2.2,5096,2.4,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,24,0,0,12,0,0,0,0,3,0,9,0,7013,2,0,0,0,0,6.0,1,-664,643,1307,80,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,97,0,0,0,0.0,5690,0.0,0,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,0,0,0,15,0,0,0,0,0,0,10,0,6044,0,0,0,4,1,0.0,0,-1114,265,1379,79,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,101,0,0,0,0.0,6288,0.0,0,2016-11-06T12:00:00Z,06 Nov 12:00,0,0,0,0,0,17,0,0,0,0,0,0,11,0,5103,0,0,0,1,1,0.0,0,-976,42,1018,79,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,113,0,0,0,0.0,6887,0.0,0,2016-11-19T12:30:00Z,19 Nov 12:30,0,0,0,0,0,11,0,0,0,0,0,0,12,0,4766,0,0,0,1,1,0.0,0,-387,69,456,78,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,121,0,0,0,0.0,7488,0.0,0,2016-11-27T14:15:00Z,27 Nov 14:15,0,0,0,0,0,2,0,0,0,0,0,0,13,0,4655,0,0,0,1,3,0.0,0,-146,18,164,78,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,140,0,0,0,0.0,8092,0.0,0,2016-12-03T17:30:00Z,03 Dec 17:30,0,0,0,0,0,20,0,0,0,0,0,0,14,0,4714,0,0,0,5,1,0.0,0,-19,102,121,78,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,141,0,0,0,0.0,8697,0.0,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,0,0,0,14,0,0,0,0,0,0,15,0,6535,0,0,0,1,3,0.0,0,1638,1878,240,78,True,0,0
0,3,0,0,0,3,0,0,3,0.8,0,0,549,0,0,156,0,0,0,0.0,9307,0.0,0,2016-12-13T19:45:00Z,13 Dec 19:45,0,0,3,0,0,6,0,0,0,0,0,0,16,0,5934,0,0,0,1,2,0.0,1,-692,261,953,78,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,164,0,0,0,0.0,9921,0.0,0,2016-12-18T16:00:00Z,18 Dec 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,5635,0,0,0,1,2,0.0,0,-376,141,517,78,False,0,0
0,9,0,0,0,6,0,0,7,27.3,1,0,549,0,0,171,0,0,0,4.8,10537,9.0,2,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,20,0,1,19,0,0,0,0,0,0,18,0,5598,1,0,0,0,1,12.0,1,-154,269,423,78,True,0,0
0,36,0,0,0,10,1,2,29,27.8,0,0,549,0,0,181,2,0,0,6.5,11155,8.6,2,2017-01-01T16:00:00Z,01 Jan 16:00,0,0,71,0,0,5,0,0,0,0,5,0,19,0,5557,2,0,0,0,2,29.0,2,-124,143,267,78,True,0,0
0,6,0,0,0,30,0,0,5,11.3,0,0,549,0,0,191,0,0,1,7.4,11777,37.4,1,2017-01-03T19:45:00Z,03 Jan 19:45,0,0,28,0,0,2,0,0,0,0,0,0,20,0,5604,0,1,0,3,3,25.0,5,-32,158,190,78,False,0,0
0,2,0,0,0,3,0,0,1,0.3,0,0,549,0,0,207,0,0,0,0.0,12401,0.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,12,0,0,16,0,0,0,0,0,0,21,0,6500,0,0,0,4,0,0.0,1,590,1092,502,78,False,0,0
