assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,15.0,0.0,0.0,0,5,0,2.0,14.0,0.6,0.0,0.0,450,0.0,0.0,1,0.0,0,0,0.4,450.0,3.8,0.0,2018-08-12T15:00:00Z,12 Aug 16:00,0.0,0.0,20,0.0,0.0,13,0,0.0,0,0,4.0,0,1,0,90529,0.0,0.0,0.0,2,0,0.0,1,0,0,0,50,True,0.0,0
0,25.0,0.0,0.0,0,3,0,1.0,23.0,1.8,0.0,0.0,450,0.0,1.0,14,1.0,1,0,0.8,975.0,5.8,0.0,2018-08-18T16:30:00Z,18 Aug 17:30,0.0,0.0,45,0.0,0.0,6,0,0.0,0,0,3.0,0,2,0,93840,1.0,1.0,0.0,2,3,0.0,1,-8111,4349,12460,50,False,0.0,0
0,34.0,0.0,0.0,0,14,0,2.0,32.0,13.3,0.0,0.0,450,0.0,0.0,21,0.0,0,0,2.3,1502.0,9.6,1.0,2018-08-25T14:00:00Z,25 Aug 15:00,0.0,0.0,34,0.0,0.0,19,0,0.0,0,0,3.0,0,3,0,82724,0.0,1.0,0.0,1,3,0.0,1,-12969,2847,15816,49,True,0.0,0
1,26.0,0.0,0.0,0,20,0,1.0,26.0,11.8,1.0,0.0,450,0.0,0.0,33,0.0,0,0,3.9,2033.0,26.8,1.0,2018-09-02T12:30:00Z,02 Sep 13:30,0.0,0.0,20,0.0,0.0,5,0,0.0,0,0,2.0,0,4,0,76098,0.0,3.0,0.0,3,2,0.0,4,-8565,2899,11464,49,False,0.0,0
0,31.0,0.0,0.0,0,4,0,1.0,23.0,2.8,1.0,0.0,450,0.0,0.0,46,1.0,1,0,1.7,2570.0,3.4,0.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,45,0.0,0.0,15,0,0.0,0,0,1.0,0,5,0,78730,0.0,0.0,1.0,2,1,11.0,1,147,8964,8817,49,False,0.0,0
0,64.0,0.0,0.0,0,9,1,2.0,55.0,6.6,0.0,0.0,450,0.0,0.0,51,2.0,0,0,2.0,3107.0,13.4,0.0,2018-09-23T15:00:00Z,23 Sep 16:00,0.0,0.0,90,0.0,1.0,8,0,0.0,0,0,6.0,0,6,0,75549,0.0,0.0,0.0,0,2,0.0,2,-3711,4279,7990,49,True,0.0,1
0,65.0,0.0,0.0,0,5,1,4.0,58.0,2.7,0.0,0.0,450,0.0,1.0,61,3.0,0,0,1.3,3645.0,10.4,0.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,8.0,0,7,0,77419,2.0,0.0,0.0,0,2,0.0,2,844,5333,4489,49,True,0.0,1
0,50.0,0.0,0.0,0,13,0,7.0,42.0,2.5,0.0,0.0,450,0.0,0.0,74,1.0,1,0,1.8,4184.0,13.8,0.0,2018-10-07T11:00:00Z,07 Oct 12:00,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,8.0,0,8,0,79310,1.0,0.0,0.0,5,1,2.0,2,1177,4555,3378,49,False,0.0,0
0,92.0,0.0,0.0,0,14,0,1.0,84.0,5.2,1.0,0.0,450,0.0,0.0,81,2.0,1,0,1.6,4726.0,9.4,0.0,2018-10-22T19:00:00Z,22 Oct 20:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,13.0,0,9,0,83063,0.0,0.0,1.0,1,3,1.0,2,2472,7225,4753,49,True,0.0,0
1,72.0,0.0,0.0,1,25,0,7.0,66.0,4.2,1.0,0.0,450,0.0,0.0,93,2.0,2,0,2.4,5272.0,19.8,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,9.0,0,10,0,83511,1.0,0.0,0.0,2,2,0.0,6,95,4266,4171,49,False,0.0,0
