assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,9,0.0,0,0,0.0,53.0,0.0,0.0,2016-08-14T12:30:00Z,14 Aug 13:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,1,0,2498,0.0,0.0,0.0,3,1,0.0,0,0,0,0,55,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,20,0.0,0,0,0.0,578.0,0.0,0.0,2016-08-21T15:00:00Z,21 Aug 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,2,0,2454,0.0,0.0,0.0,0,1,0.0,0,-425,60,485,55,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,22,0.0,0,0,0.0,1118.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,3,0,2192,0.0,0.0,0.0,1,1,0.0,0,-485,70,555,54,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,32,0.0,0,0,0.0,1668.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,4,0,2097,0.0,0.0,0.0,0,1,0.0,0,-258,90,348,54,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,45,0.0,0,0,0.0,2249.0,0.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,5,0,2066,0.0,0.0,0.0,0,4,0.0,0,-146,55,201,53,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,52,0.0,0,0,0.0,2833.0,0.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,6,0,2089,0.0,0.0,0.0,0,1,0.0,0,-81,89,170,53,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,69,0.0,0,0,0.0,3419.0,0.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,7,0,2116,0.0,0.0,0.0,2,2,0.0,0,-56,71,127,53,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,72,0.0,0,0,0.0,4008.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,8,0,2096,0.0,0.0,0.0,1,6,0.0,0,-86,48,134,53,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,82,0.0,0,0,0.0,4600.0,0.0,0.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,9,0,2123,0.0,0.0,0.0,0,0,0.0,0,-33,61,94,53,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,94,0.0,0,0,0.0,5194.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,10,0,2144,0.0,0.0,0.0,0,2,0.0,0,-14,71,85,52,False,0.0,0
0,3.0,0.0,0.0,0,0,0,0.0,3.0,11.8,0.0,0.0,53,0.0,0.0,102,1.0,0,0,2.1,5792.0,0.0,1.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,15,0.0,0.0,15,0,0.0,0,0,1.0,0,11,0,2186,2.0,0.0,1.0,2,1,10.0,1,-2,95,97,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,116,0.0,0,0,0.0,6391.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,12,0,2300,0.0,0.0,0.0,1,0,0.0,0,26,137,111,52,False,0.0,0
0,3.0,0.0,0.0,0,1,0,0.0,2.0,0.1,0.0,0.0,53,0.0,0.0,121,1.0,1,0,0.3,6992.0,0.0,0.0,2016-11-27T14:15:00Z,27 Nov 14:15,0.0,0.0,10,0.0,0.0,1,0,0.0,0,0,0.0,0,13,0,2307,0.0,0.0,1.0,1,3,6.0,1,-36,41,77,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,131,0.0,0,0,0.0,7596.0,0.0,0.0,2016-12-04T13:30:00Z,04 Dec 13:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,14,0,2339,0.0,0.0,0.0,3,4,0.0,0,-14,57,71,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,142,0.0,0,0,0.0,8201.0,0.0,0.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,15,0,2386,0.0,0.0,0.0,2,3,0.0,0,-7,71,78,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,151,0.0,0,0,0.0,8811.0,0.0,0.0,2016-12-13T19:45:00Z,13 Dec 19:45,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,16,0,2387,0.0,0.0,0.0,0,1,0.0,0,-23,37,60,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,161,0.0,0,0,0.0,9425.0,0.0,0.0,2016-12-18T13:30:00Z,18 Dec 13:30,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,17,0,2404,0.0,0.0,0.0,3,1,0.0,0,-14,51,65,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,173,0.0,0,0,0.0,10041.0,0.0,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,18,0,2407,0.0,0.0,0.0,0,3,0.0,0,-47,58,105,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,189,0.0,0,0,0.0,10659.0,0.0,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,19,0,2398,0.0,0.0,0.0,3,0,0.0,0,-38,32,70,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,191,0.0,0,0,0.0,11281.0,0.0,0.0,2017-01-03T19:45:00Z,03 Jan 19:45,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,20,0,2395,0.0,0.0,0.0,3,3,0.0,0,-19,22,41,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,203,0.0,0,0,0.0,11905.0,0.0,0.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,21,0,2423,0.0,0.0,0.0,1,3,0.0,0,-56,50,106,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,212,0.0,0,0,0.0,12536.0,0.0,0.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,22,0,2440,0.0,0.0,0.0,2,2,0.0,0,-21,45,66,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,222,0.0,0,0,0.0,13170.0,0.0,0.0,2017-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,23,0,2471,0.0,0.0,0.0,2,0,0.0,0,-22,31,53,51,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,233,0.0,0,0,0.0,13813.0,0.0,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,24,0,2478,0.0,0.0,0.0,3,6,0.0,0,-11,17,28,51,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,242,0.0,0,0,0.0,14462.0,0.0,0.0,2017-02-13T20:00:00Z,13 Feb 20:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,25,0,2471,0.0,0.0,0.0,2,0,0.0,0,-38,32,70,51,True,0.0,0
0,3.0,0.0,0.0,0,2,0,0.0,1.0,0.3,0.0,0.0,53,0.0,0.0,260,0.0,0,0,1.2,15086.0,3.0,0.0,2017-02-25T15:00:00Z,25 Feb 15:00,0.0,0.0,12,0.0,0.0,19,0,0.0,0,0,0.0,0,26,0,2518,1.0,0.0,0.0,1,2,9.0,1,-7,28,35,51,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,263,0.0,0,0,0.0,15638.0,0.0,0.0,2017-03-04T12:30:00Z,04 Mar 12:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,27,0,2537,0.0,0.0,0.0,1,1,0.0,0,-5,28,33,51,False,0.0,0
0,2.0,0.0,0.0,0,2,0,0.0,1.0,10.3,0.0,0.0,53,0.0,0.0,272,0.0,0,0,1.2,16326.0,2.0,1.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,6,0.0,0.0,20,0,0.0,0,0,0.0,0,28,0,2567,2.0,0.0,0.0,2,3,0.0,1,6,37,31,51,True,0.0,0
