assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,9,0.0,0,0,0.0,248.0,0.0,0.0,2016-08-14T12:30:00Z,14 Aug 13:30,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,1,0,19824,0.0,0.0,0.0,3,1,0.0,0,0,0,0,55,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,11,0.0,0,0,0.0,773.0,0.0,0.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,2,0,19478,0.0,0.0,0.0,0,2,0.0,0,-3127,210,3337,55,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,24,0.0,0,0,0.0,1313.0,0.0,0.0,2016-08-27T16:30:00Z,27 Aug 17:30,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,3,0,16307,0.0,0.0,0.0,1,0,0.0,0,-3879,83,3962,54,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,35,0.0,0,0,0.0,1863.0,0.0,0.0,2016-09-10T11:30:00Z,10 Sep 12:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,4,0,14956,0.0,0.0,0.0,2,1,0.0,0,-1963,109,2072,53,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,50,0.0,0,0,0.0,2444.0,0.0,0.0,2016-09-18T11:00:00Z,18 Sep 12:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,5,0,14380,0.0,0.0,0.0,1,3,0.0,0,-970,83,1053,53,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,54,0.0,0,0,0.0,3028.0,0.0,0.0,2016-09-24T11:30:00Z,24 Sep 12:30,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,6,0,13975,0.0,0.0,0.0,1,4,0.0,0,-842,101,943,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,65,0.0,0,0,0.0,3614.0,0.0,0.0,2016-10-02T11:00:00Z,02 Oct 12:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,7,0,13754,0.0,0.0,0.0,1,1,0.0,0,-544,85,629,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,75,0.0,0,0,0.0,4203.0,0.0,0.0,2016-10-17T19:00:00Z,17 Oct 20:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,8,0,13718,0.0,0.0,0.0,0,0,0.0,0,-462,106,568,52,False,0.0,0
0,21.0,0.0,0.0,0,4,0,3.0,19.0,13.6,1.0,0.0,248,0.0,0.0,84,1.0,2,0,4.2,4795.0,7.0,1.0,2016-10-23T15:00:00Z,23 Oct 16:00,0.0,0.0,39,0.0,0.0,4,0,0.0,0,0,0.0,0,9,0,13681,0.0,0.0,1.0,0,4,21.0,0,-274,65,339,52,False,0.0,0
0,55.0,0.0,0.0,0,26,1,6.0,50.0,11.3,0.0,0.0,248,0.0,0.0,93,2.0,0,0,3.7,5389.0,16.8,1.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,5.0,0,10,0,14329,0.0,0.0,1.0,0,0,9.0,6,342,650,308,52,True,0.0,0
0,83.0,0.0,0.0,0,20,0,8.0,75.0,0.8,1.0,0.0,248,0.0,0.0,109,1.0,1,0,2.3,5987.0,22.4,0.0,2016-11-06T15:00:00Z,06 Nov 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,7.0,0,11,0,15389,0.0,1.0,0.0,3,1,0.0,2,617,948,331,52,False,0.0,0
0,45.0,0.0,0.0,1,22,0,17.0,29.0,10.2,1.0,0.0,248,0.0,0.0,113,0.0,1,0,5.1,6586.0,33.0,1.0,2016-11-19T12:30:00Z,19 Nov 12:30,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,13.0,0,12,0,16644,1.0,2.0,1.0,1,1,8.0,3,499,1069,570,52,True,0.0,0
0,67.0,0.0,0.0,0,16,0,12.0,60.0,1.6,0.0,0.0,248,0.0,0.0,127,1.0,1,0,2.7,7187.0,25.2,0.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,4.0,0,13,0,18174,0.0,0.0,0.0,1,1,0.0,2,1034,1416,382,52,True,0.0,0
0,35.0,0.0,0.0,0,14,0,15.0,29.0,0.8,0.0,0.0,248,0.0,0.0,133,1.0,1,0,2.9,7791.0,28.6,0.0,2016-12-04T16:00:00Z,04 Dec 16:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,5.0,0,14,0,19175,0.0,0.0,0.0,1,1,0.0,1,502,1046,544,52,False,0.0,1
0,10.0,0.0,0.0,1,27,1,20.0,3.0,0.0,0.0,0.0,248,0.0,0.0,149,3.0,0,0,3.6,8396.0,35.6,0.0,2016-12-11T14:15:00Z,11 Dec 14:15,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,2.0,0,15,0,19624,0.0,1.0,0.0,0,1,0.0,7,9,691,682,52,True,0.0,0
0,49.0,0.0,0.0,0,9,0,7.0,45.0,0.7,0.0,0.0,248,0.0,0.0,155,3.0,1,0,1.9,9006.0,12.0,0.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,5.0,0,16,0,24855,0.0,0.0,1.0,2,1,6.0,1,4663,5006,343,52,False,0.0,1
0,53.0,0.0,0.0,1,28,1,15.0,46.0,0.3,1.0,0.0,248,0.0,0.0,169,0.0,0,0,3.6,9620.0,33.6,0.0,2016-12-17T17:30:00Z,17 Dec 17:30,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,5.0,0,17,0,27238,0.0,0.0,0.0,2,0,2.0,6,1830,2869,1039,52,False,0.0,1
0,38.0,0.0,0.0,0,14,0,8.0,33.0,0.4,1.0,0.0,248,0.0,0.0,177,0.0,1,0,1.9,10236.0,17.2,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,2.0,0,18,0,34004,0.0,0.0,1.0,1,3,1.0,2,5583,6487,904,52,True,0.0,0
0,14.0,0.0,0.0,0,6,0,1.0,10.0,0.8,0.0,0.0,248,0.0,0.0,187,1.0,1,0,1.0,10854.0,4.8,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,27,0.0,0.0,12,0,0.0,0,0,3.0,0,19,0,37618,1.0,2.0,0.0,1,2,4.0,1,2876,4309,1433,52,True,0.0,0
0,81.0,0.0,0.0,1,28,1,4.0,72.0,17.2,1.0,0.0,248,0.0,0.0,200,1.0,0,0,3.2,11476.0,15.2,1.0,2017-01-02T17:15:00Z,02 Jan 17:15,0.0,0.0,90,0.0,1.0,20,0,0.0,0,0,6.0,0,20,0,36467,0.0,0.0,0.0,2,0,0.0,7,-1507,1864,3371,52,False,0.0,0
0,58.0,0.0,0.0,0,18,0,11.0,45.0,0.9,1.0,0.0,248,0.0,0.0,205,0.0,1,0,3.0,12100.0,28.8,0.0,2017-01-15T16:00:00Z,15 Jan 16:00,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,7.0,0,21,0,33740,0.0,1.0,0.0,1,1,0.0,2,-3515,2833,6348,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,219,0.0,0,0,0.0,12731.0,0.0,0.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,22,0,35957,0.0,0.0,0.0,1,1,0.0,0,1509,3213,1704,52,False,0.0,0
0,74.0,0.0,0.0,2,29,1,7.0,61.0,1.2,1.0,0.0,248,0.0,0.0,229,0.0,0,0,4.5,13365.0,23.0,0.0,2017-02-01T20:00:00Z,01 Feb 20:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,7.0,0,23,0,34954,0.0,1.0,1.0,0,0,21.0,8,-1433,1717,3150,52,True,0.0,0
0,22.0,0.0,0.0,0,3,0,7.0,14.0,1.1,0.0,0.0,248,0.0,0.0,235,3.0,0,0,3.1,14008.0,12.4,0.0,2017-02-05T16:00:00Z,05 Feb 16:00,0.0,0.0,45,0.0,0.0,8,0,0.0,0,0,1.0,0,24,0,39348,0.0,0.0,0.0,3,0,17.0,1,4017,4678,661,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,245,0.0,0,0,0.0,14657.0,0.0,0.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,25,0,37500,0.0,0.0,0.0,0,2,0.0,0,-2299,2484,4783,52,True,0.0,0
0,69.0,0.0,0.0,0,29,0,5.0,68.0,6.5,1.0,0.0,248,0.0,0.0,263,0.0,1,1,11.1,15859.0,55.4,0.0,2017-03-04T12:30:00Z,04 Mar 12:30,0.0,0.0,90,0.0,1.0,2,0,0.0,0,0,5.0,0,27,0,33852,0.0,0.0,0.0,1,1,49.0,8,-100,906,1006,52,True,0.0,0
0,4.0,0.0,0.0,0,6,0,2.0,2.0,0.0,0.0,0.0,248,0.0,0.0,285,0.0,1,0,0.5,16804.0,5.4,0.0,2017-03-19T12:00:00Z,19 Mar 12:00,0.0,0.0,22,0.0,0.0,12,0,0.0,0,0,0.0,0,29,0,48951,0.0,1.0,0.0,3,1,0.0,1,12723,13559,836,52,False,0.0,0
0,65.0,0.0,0.0,0,24,1,4.0,57.0,1.6,1.0,0.0,248,0.0,0.0,297,3.0,0,0,1.4,17458.0,12.8,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,6.0,0,30,0,56797,1.0,2.0,0.0,0,0,0.0,5,6963,9276,2313,52,True,0.0,1
0,47.0,0.0,0.0,0,17,0,10.0,42.0,1.1,0.0,0.0,248,0.0,0.0,305,1.0,1,0,2.5,18115.0,14.6,0.0,2017-04-04T19:00:00Z,04 Apr 20:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,8.0,0,31,0,59024,0.0,1.0,1.0,1,1,9.0,2,1994,3186,1192,52,True,0.0,0
0,37.0,0.0,0.0,1,31,1,12.0,34.0,0.9,0.0,0.0,248,0.0,0.0,317,1.0,0,0,2.2,18776.0,21.2,0.0,2017-04-09T12:30:00Z,09 Apr 13:30,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,2.0,0,32,0,62528,0.0,1.0,0.0,3,0,0.0,7,3240,4569,1329,52,False,0.0,0
0,24.0,0.0,0.0,0,23,1,10.0,21.0,0.0,0.0,0.0,248,0.0,0.0,323,2.0,0,0,2.1,19438.0,21.4,0.0,2017-04-16T15:00:00Z,16 Apr 16:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,4.0,0,33,0,67804,0.0,2.0,0.0,0,2,0.0,5,4798,7197,2399,52,True,0.0,1
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,333,0.0,0,0,0.0,20133.0,0.0,0.0,2017-04-23T13:15:00Z,23 Apr 14:15,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,34,0,60827,0.0,0.0,0.0,2,0,0.0,0,-7380,20570,27950,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,256,0.0,0,0,0.0,20132.0,0.0,0.0,2017-04-27T19:00:00Z,27 Apr 20:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,34,0,60827,0.0,0.0,0.0,0,0,0.0,0,-7380,20570,27950,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,343,0.0,0,0,0.0,20841.0,0.0,0.0,2017-04-30T11:00:00Z,30 Apr 12:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,35,0,42647,0.0,0.0,0.0,1,1,0.0,0,-18219,163,18382,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,351,0.0,0,0,0.0,21536.0,0.0,0.0,2017-05-07T15:00:00Z,07 May 16:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,36,0,36876,0.0,0.0,0.0,0,2,0.0,0,-5803,81,5884,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,368,0.0,0,0,0.0,22355.0,0.0,0.0,2017-05-14T15:30:00Z,14 May 16:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,37,0,34264,0.0,0.0,0.0,1,2,0.0,0,-2643,70,2713,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,279,0.0,0,0,0.0,22354.0,0.0,0.0,2017-05-17T18:45:00Z,17 May 19:45,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,37,0,34264,0.0,0.0,0.0,0,0,0.0,0,-2643,70,2713,52,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,248,0.0,0.0,377,0.0,0,0,0.0,23253.0,0.0,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,38,0,32999,0.0,0.0,0.0,0,2,0.0,0,-1289,87,1376,52,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,266,0.0,0.0,9,0.0,0,0,0.0,266.0,0.0,0.0,2017-08-13T15:00:00Z,13 Aug 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,1,0,1964,0.0,0.0,0.0,0,4,0.0,0,0,0,0,55,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,266,0.0,0.0,17,0.0,0,0,0.0,777.0,0.0,0.0,2017-08-19T11:30:00Z,19 Aug 12:30,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,2,0,1986,0.0,0.0,0.0,4,0,0.0,0,-458,57,515,55,False,0.0,0
