assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,18.0,0.0,0.0,0,-1,1,4.0,12.0,1.2,1.0,0.0,446,0.0,0.0,2,1.0,0,0,1.2,446.0,4.2,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,4.0,0,1,0,9604,9.0,0.0,1.0,1,0,7.0,3,0,0,0,55,False,0.0,0
0,13.0,0.0,0.0,0,9,0,1.0,8.0,4.8,2.0,0.0,446,0.0,0.0,18,0.0,2,0,1.3,971.0,6.6,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,64,0.0,1.0,6,0,0.0,0,0,1.0,0,2,0,10455,2.0,1.0,0.0,2,1,2.0,2,196,866,670,55,True,0.0,0
0,14.0,0.0,0.0,0,9,1,1.0,7.0,44.3,3.0,0.0,446,0.0,0.0,30,0.0,0,0,7.4,1511.0,11.6,3.0,2016-08-28T12:30:00Z,28 Aug 13:30,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,6.0,0,3,0,10129,5.0,0.0,0.0,0,0,18.0,3,-558,655,1213,55,True,0.0,0
0,23.0,1.0,0.0,0,20,0,4.0,11.0,48.1,3.0,0.0,446,0.0,0.0,32,0.0,1,0,7.5,2061.0,18.6,3.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,2.0,2,0,0.0,0,0,6.0,0,4,0,8384,3.0,1.0,0.0,0,1,8.0,2,-1893,570,2463,55,False,0.0,0
1,17.0,0.0,0.0,0,9,0,1.0,11.0,19.7,1.0,0.0,446,0.0,0.0,46,1.0,2,0,2.8,2642.0,3.4,1.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,1.0,20,0,0.0,0,0,3.0,0,5,0,7259,8.0,0.0,1.0,2,4,5.0,5,-1189,114,1303,54,True,0.0,0
0,18.0,0.0,0.0,0,8,0,0.0,12.0,1.9,4.0,0.0,446,0.0,0.0,56,0.0,1,0,1.5,3226.0,3.4,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,87,0.0,0.0,14,0,0.0,0,0,7.0,0,6,0,6444,4.0,0.0,0.0,1,1,10.0,2,-924,347,1271,54,False,0.0,0
1,24.0,0.0,0.0,0,17,0,1.0,18.0,36.4,1.0,0.0,446,0.0,0.0,66,2.0,1,0,9.8,3812.0,30.6,3.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,6.0,0,7,0,5983,3.0,1.0,2.0,1,1,31.0,5,-510,166,676,53,False,0.0,0
0,8.0,0.0,0.0,0,3,1,0.0,4.0,24.8,0.0,0.0,446,0.0,0.0,80,2.0,0,0,3.0,4401.0,0.0,2.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,68,0.0,0.0,17,0,0.0,0,0,3.0,0,8,0,5970,2.0,0.0,2.0,1,1,10.0,3,-159,396,555,53,True,0.0,0
0,5.0,0.0,0.0,0,4,0,1.0,4.0,0.3,1.0,0.0,446,0.0,0.0,87,0.0,2,0,0.8,4993.0,1.2,0.0,2016-10-22T16:30:00Z,22 Oct 17:30,0.0,0.0,50,0.0,0.0,9,0,0.0,0,0,3.0,0,9,0,5582,1.0,0.0,0.0,1,2,6.0,1,-440,158,598,53,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,446,0.0,0.0,100,0.0,0,0,0.0,5587.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,10,0,5287,0.0,0.0,0.0,4,0,0.0,0,-344,87,431,52,True,0.0,0
1,18.0,0.0,0.0,3,42,0,1.0,10.0,39.1,4.0,0.0,446,0.0,0.0,106,0.0,1,1,14.5,6185.0,62.2,3.0,2016-11-06T16:30:00Z,06 Nov 16:30,0.0,0.0,82,0.0,1.0,8,0,0.0,0,0,4.0,0,11,0,4799,3.0,0.0,0.0,2,1,44.0,13,-516,70,586,52,False,1.0,0
1,18.0,1.0,0.0,3,38,1,2.0,15.0,13.0,1.0,0.0,446,0.0,0.0,120,0.0,0,1,9.0,6784.0,51.2,1.0,2016-11-21T20:00:00Z,21 Nov 20:00,0.0,0.0,74,0.0,0.0,3,0,0.0,0,0,4.0,0,12,0,12859,3.0,0.0,2.0,0,4,26.0,14,7493,8164,671,51,True,1.0,0
1,22.0,0.0,0.0,0,15,0,0.0,15.0,30.0,2.0,0.0,446,0.0,0.0,124,1.0,1,0,5.6,7385.0,17.8,2.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,82,0.0,0.0,7,0,0.0,0,0,3.0,0,13,0,125060,2.0,0.0,2.0,1,1,8.0,5,109844,111476,1632,52,False,0.0,0
0,24.0,0.0,0.0,2,34,0,4.0,17.0,41.0,3.0,0.0,446,0.0,0.0,139,1.0,1,1,10.8,7989.0,52.0,3.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,90,0.0,1.0,18,0,0.0,0,0,10.0,0,14,0,216573,3.0,2.0,2.0,1,3,15.0,9,87956,92315,4359,53,True,0.0,0
0,8.0,0.0,0.0,0,8,0,0.0,2.0,0.1,0.0,0.0,446,0.0,0.0,143,0.0,1,0,0.4,8594.0,3.2,0.0,2016-12-11T12:00:00Z,11 Dec 12:00,0.0,0.0,77,0.0,0.0,4,0,0.0,0,0,3.0,0,15,0,286290,2.0,2.0,1.0,0,1,1.0,2,64734,78955,14221,54,False,0.0,0
1,25.0,1.0,0.0,0,18,0,1.0,19.0,27.0,3.0,0.0,446,0.0,0.0,153,1.0,1,0,7.1,9204.0,21.4,2.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,90,0.0,1.0,16,0,0.0,0,0,6.0,0,16,0,323104,7.0,1.0,2.0,1,3,23.0,5,34241,43689,9448,54,True,0.0,0
0,23.0,1.0,0.0,0,11,0,3.0,16.0,27.3,2.0,0.0,446,0.0,0.0,169,1.0,2,0,6.4,9818.0,9.2,2.0,2016-12-17T17:30:00Z,17 Dec 17:30,0.0,0.0,80,1.0,1.0,11,0,0.0,0,0,5.0,0,17,0,346663,2.0,0.0,1.0,2,0,27.0,2,20734,36615,15881,55,True,0.0,0
0,23.0,0.0,0.0,0,10,0,4.0,17.0,2.8,2.0,0.0,446,0.0,0.0,171,0.0,1,0,1.2,10434.0,6.8,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,4.0,0,18,0,344507,1.0,0.0,0.0,0,1,2.0,2,-5963,22688,28651,55,False,0.0,0
1,27.0,1.0,0.0,3,43,0,5.0,17.0,33.6,3.0,0.0,446,0.0,0.0,188,0.0,1,1,11.5,11052.0,60.2,2.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,90,0.0,1.0,13,0,0.0,0,0,5.0,0,19,0,374871,2.0,1.0,2.0,2,1,21.0,13,28322,46752,18430,55,False,0.0,0
2,27.0,1.0,0.0,1,33,0,2.0,23.0,31.9,3.0,0.0,446,0.0,0.0,199,0.0,1,0,10.6,11674.0,45.4,2.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,5.0,0,20,0,590676,3.0,1.0,0.0,1,3,29.0,9,211248,222107,10859,56,True,0.0,0
0,12.0,0.0,0.0,0,2,0,3.0,8.0,0.8,0.0,0.0,446,0.0,0.0,208,0.0,4,0,0.1,12298.0,0.0,0.0,2017-01-14T12:30:00Z,14 Jan 12:30,0.0,0.0,89,0.0,0.0,17,0,0.0,0,0,2.0,0,21,0,840653,4.0,0.0,1.0,0,4,1.0,2,238792,278310,39518,58,False,0.0,0
0,26.0,0.0,0.0,0,14,1,2.0,16.0,30.3,6.0,0.0,446,0.0,0.0,220,0.0,0,0,9.8,12929.0,22.4,1.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,90,0.0,3.0,15,0,0.0,0,0,7.0,0,22,0,918004,5.0,0.0,0.0,0,2,45.0,3,72708,104627,31919,59,True,0.0,0
0,14.0,0.0,1.0,0,-5,0,0.0,11.0,15.9,2.0,0.0,446,0.0,0.0,224,0.0,1,0,3.2,13563.0,0.0,1.0,2017-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,90,1.0,1.0,12,0,0.0,0,0,2.0,0,23,0,955308,8.0,0.0,3.0,1,1,18.0,2,32481,65087,32606,59,False,0.0,0
0,19.0,0.0,0.0,0,4,1,3.0,14.0,2.2,4.0,0.0,446,0.0,0.0,240,1.0,0,0,5.1,14206.0,9.2,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,86,0.0,0.0,14,0,0.0,0,0,6.0,0,24,0,937184,5.0,0.0,0.0,0,1,40.0,2,-19266,23001,42267,59,True,0.0,1
0,12.0,0.0,0.0,0,7,0,2.0,6.0,24.3,0.0,0.0,446,0.0,0.0,250,0.0,1,0,3.3,14855.0,4.2,1.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,66,0.0,1.0,20,0,0.0,0,0,3.0,0,25,0,887755,3.0,0.0,0.0,2,2,4.0,2,-51184,24774,75958,59,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,446,0.0,0.0,260,0.0,0,0,0.0,15406.0,0.0,0.0,2017-02-25T15:00:00Z,25 Feb 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,26,0,859376,0.0,0.0,0.0,1,2,0.0,0,-30338,26388,56726,58,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,446,0.0,0.0,269,0.0,0,0,0.0,16080.0,0.0,0.0,2017-03-04T15:00:00Z,04 Mar 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,27,0,655382,0.0,0.0,0.0,2,0,0.0,0,-204307,4964,209271,57,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,446,0.0,0.0,275,0.0,0,0,0.0,16460.0,0.0,0.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,28,0,470573,0.0,0.0,0.0,0,3,0.0,0,-184999,1906,186905,56,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,446,0.0,0.0,289,0.0,0,0,0.0,17002.0,0.0,0.0,2017-03-18T12:30:00Z,18 Mar 12:30,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,29,0,334561,0.0,0.0,0.0,1,3,0.0,0,-136052,517,136569,55,True,0.0,0
