assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,486,0.0,0.0,3,0.0,0,0,0.0,486.0,0.0,0.0,2018-08-11T14:00:00Z,11 Aug 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,1,0,41672,0.0,0.0,0.0,2,0,0.0,0,0,0,0,60,False,0.0,0
0,2.0,0.0,0.0,0,2,0,0.0,2.0,0.1,1.0,0.0,486,0.0,0.0,15,0.0,1,0,0.9,1011.0,1.0,0.0,2018-08-20T19:00:00Z,20 Aug 20:00,0.0,0.0,7,0.0,0.0,12,0,0.0,0,0,0.0,0,2,0,28028,1.0,0.0,1.0,2,0,8.0,1,-14933,391,15324,60,True,0.0,0
1,16.0,0.0,0.0,0,11,0,0.0,13.0,10.9,0.0,0.0,486,0.0,0.0,29,1.0,0,0,3.5,1538.0,22.4,1.0,2018-08-26T12:30:00Z,26 Aug 13:30,0.0,0.0,15,0.0,0.0,18,0,0.0,0,0,2.0,0,3,0,23030,0.0,1.0,0.0,1,2,2.0,3,-5707,505,6212,59,False,0.0,1
0,17.0,0.0,0.0,0,4,0,0.0,16.0,12.3,0.0,0.0,486,0.0,0.0,35,0.0,1,0,3.8,2069.0,3.2,1.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,14,0.0,0.0,16,0,0.0,0,0,1.0,0,4,0,22619,0.0,0.0,0.0,2,0,22.0,1,-1046,1731,2777,59,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,486,0.0,0.0,44,0.0,0,0,0.0,2606.0,0.0,0.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,5,0,20376,0.0,0.0,0.0,1,0,0.0,0,-2541,670,3211,59,False,0.0,0
0,15.0,0.0,0.0,0,7,0,1.0,13.0,11.2,0.0,0.0,486,0.0,0.0,55,0.0,0,0,2.1,3143.0,9.4,1.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,27,0.0,0.0,15,0,0.0,0,0,1.0,0,6,0,17354,1.0,2.0,0.0,0,0,0.0,1,-3175,259,3434,58,True,0.0,0
0,55.0,0.0,0.0,0,14,0,1.0,53.0,29.5,0.0,0.0,486,0.0,0.0,62,0.0,1,0,5.8,3681.0,9.6,2.0,2018-10-01T19:00:00Z,01 Oct 20:00,0.0,0.0,83,0.0,0.0,2,0,0.0,0,0,2.0,0,7,0,15675,0.0,0.0,0.0,1,2,19.0,2,-1802,117,1919,58,False,0.0,0
0,24.0,0.0,0.0,0,3,0,0.0,22.0,1.8,0.0,0.0,486,0.0,0.0,73,0.0,0,0,2.8,4220.0,5.6,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,27,0.0,0.0,20,0,0.0,0,0,2.0,0,8,0,15127,0.0,0.0,0.0,1,0,21.0,1,-633,228,861,57,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,486,0.0,0.0,85,0.0,0,0,0.0,4762.0,0.0,0.0,2018-10-21T15:00:00Z,21 Oct 16:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,9,0,13945,0.0,0.0,0.0,0,2,0.0,0,-1279,175,1454,57,False,0.0,0
0,15.0,0.0,0.0,0,0,0,0.0,13.0,1.3,0.0,0.0,486,0.0,0.0,93,0.0,0,0,1.1,5308.0,0.0,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,29,0.0,0.0,1,0,0.0,0,0,1.0,0,10,0,12918,1.0,0.0,2.0,2,2,13.0,1,-1057,37,1094,56,True,0.0,0
