assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,51.0,0.0,0.0,0,17,0,12.0,49.0,0.3,0.0,0.0,298,0.0,0.0,7,2.0,1,0,2.4,298.0,18.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,6.0,0,1,0,14026,0.0,0.0,1.0,1,1,6.0,2,0,0,0,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,11,0.0,0,0,0.0,823.0,0.0,0.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,2,0,17437,0.0,0.0,0.0,0,2,0.0,0,-1,981,982,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,26,0.0,0,0,0.0,1363.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,3,0,16432,0.0,0.0,0.0,1,1,0.0,0,-1621,319,1940,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,31,0.0,0,0,0.0,1913.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,4,0,14855,0.0,0.0,0.0,1,2,0.0,0,-1822,121,1943,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,48,0.0,0,0,0.0,2494.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,5,0,14219,0.0,0.0,0.0,0,1,0.0,0,-757,212,969,44,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,59,0.0,0,0,0.0,3078.0,0.0,0.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,6,0,13392,0.0,0.0,0.0,3,0,0.0,0,-929,145,1074,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,64,0.0,0,0,0.0,3664.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,12763,0.0,0.0,0.0,0,0,0.0,0,-701,106,807,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,78,0.0,0,0,0.0,4253.0,0.0,0.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,8,0,12518,0.0,0.0,0.0,1,3,0.0,0,-340,225,565,43,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,88,0.0,0,0,0.0,4845.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,9,0,12211,0.0,0.0,0.0,1,1,0.0,0,-365,136,501,43,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,95,0.0,0,0,0.0,5439.0,0.0,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,11907,0.0,0.0,0.0,2,0,0.0,0,-350,67,417,43,True,0.0,0
1,74.0,0.0,0.0,0,19,0,2.0,61.0,20.3,0.0,0.0,298,0.0,0.0,105,2.0,2,0,7.3,6037.0,15.2,1.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,90,0.0,1.0,7,0,0.0,0,0,2.0,0,11,0,11745,0.0,1.0,0.0,1,2,37.0,3,-230,171,401,43,False,0.0,1
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,115,0.0,0,0,0.0,6636.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,12,0,12351,0.0,0.0,0.0,0,0,0.0,0,435,777,342,43,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,128,0.0,0,0,0.0,7237.0,0.0,0.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,13,0,12169,0.0,0.0,0.0,0,1,0.0,0,-227,135,362,43,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,298,0.0,0.0,132,0.0,0,0,0.0,7841.0,0.0,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,14,0,12027,0.0,0.0,0.0,0,3,0.0,0,-191,144,335,43,False,0.0,0
