assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,8,0.0,0,0,0.0,14.0,0.0,0.0,2016-08-14T15:00:00Z,14 Aug 16:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,1,0,179727,0.0,0.0,0.0,4,3,0.0,0,0,0,0,95,True,0.0,0
0,18.0,0.0,0.0,0,5,0,0.0,16.0,14.3,2.0,0.0,14,0.0,0.0,13,0.0,0,0,2.5,539.0,4.8,0.0,2016-08-20T16:30:00Z,20 Aug 17:30,0.0,0.0,18,0.0,0.0,8,0,0.0,0,0,3.0,0,2,0,169471,1.0,0.0,0.0,0,0,6.0,1,-23953,4332,28285,95,False,0.0,0
0,37.0,0.0,0.0,1,26,0,1.0,30.0,16.7,0.0,0.0,14,0.0,0.0,28,0.0,1,1,7.7,1079.0,37.2,1.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,69,0.0,0.0,18,0,0.0,0,0,1.0,0,3,0,198678,3.0,0.0,0.0,3,1,23.0,8,16729,31359,14630,95,False,0.0,0
0,61.0,0.0,0.0,0,18,0,2.0,52.0,68.8,1.0,0.0,14,0.0,0.0,31,0.0,1,0,12.1,1629.0,24.4,4.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,1.0,13,0,0.0,0,0,3.0,0,4,0,327010,4.0,2.0,0.0,1,2,28.0,2,108211,128329,20118,96,True,0.0,0
0,110.0,0.0,1.0,0,11,0,1.0,104.0,53.7,0.0,0.0,14,0.0,0.0,43,0.0,1,0,10.0,2210.0,9.8,2.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,4.0,0,5,0,319618,0.0,0.0,1.0,4,1,36.0,2,-13307,11081,24388,96,False,0.0,0
0,72.0,0.0,0.0,2,38,1,2.0,65.0,50.0,3.0,0.0,14,0.0,0.0,51,0.0,0,1,12.5,2794.0,51.8,3.0,2016-09-24T16:30:00Z,24 Sep 17:30,0.0,0.0,90,2.0,0.0,4,0,0.0,0,0,4.0,0,6,0,263730,2.0,2.0,0.0,0,3,23.0,10,-60128,5391,65519,95,True,0.0,0
0,80.0,0.0,0.0,0,8,1,1.0,72.0,28.3,0.0,0.0,14,0.0,0.0,61,0.0,0,0,9.6,3380.0,10.4,1.0,2016-10-02T15:30:00Z,02 Oct 16:30,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,2.0,0,7,0,292186,4.0,0.0,1.0,1,0,57.0,3,22694,34651,11957,95,False,0.0,0
0,58.0,2.0,0.0,3,43,0,2.0,43.0,70.6,2.0,0.0,14,0.0,0.0,71,0.0,2,1,16.9,3969.0,48.4,5.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,82,2.0,0.0,16,0,0.0,0,0,6.0,0,8,0,300558,1.0,1.0,1.0,2,3,50.0,10,2273,16977,14704,95,True,1.0,0
0,60.0,0.0,0.0,0,9,1,1.0,47.0,44.1,0.0,0.0,14,0.0,0.0,81,0.0,0,0,5.4,4561.0,2.8,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,1.0,2.0,12,0,0.0,0,0,6.0,0,9,0,346320,1.0,0.0,1.0,0,0,7.0,3,39619,45951,6332,96,True,0.0,0
1,48.0,1.0,1.0,0,25,0,1.0,42.0,45.9,1.0,0.0,14,0.0,0.0,97,1.0,1,0,12.0,5155.0,32.4,3.0,2016-10-29T11:30:00Z,29 Oct 12:30,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,8.0,0,10,0,368244,2.0,2.0,1.0,4,1,42.0,5,16474,25411,8937,96,False,0.0,0
1,50.0,0.0,0.0,0,21,0,1.0,40.0,72.8,2.0,0.0,14,0.0,0.0,101,0.0,1,0,10.6,5753.0,14.4,5.0,2016-11-06T12:00:00Z,06 Nov 12:00,0.0,0.0,90,2.0,1.0,17,0,0.0,0,0,5.0,0,11,0,376786,5.0,1.0,2.0,1,1,19.0,5,2662,26882,24220,96,True,0.0,0
