assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,587,0.0,0.0,249,0.0,0,0,0.0,13911.0,0.0,0.0,2019-02-02T12:30:00Z,02 Feb 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,25,0,4393,0.0,0.0,0.0,0,1,0.0,0,4295,4839,544,60,False,0.0,0
0,9.0,0.0,0.0,0,6,0,1.0,8.0,14.7,0.0,0.0,587,0.0,0.0,260,1.0,1,0,2.3,14508.0,6.4,1.0,2019-02-11T20:00:00Z,11 Feb 20:00,0.0,0.0,18,0.0,1.0,20,0,0.0,0,0,5.0,0,26,0,12654,1.0,1.0,0.0,1,1,2.0,1,8164,8778,614,60,False,0.0,0
0,28.0,0.0,1.0,0,13,1,1.0,23.0,75.3,1.0,0.0,587,0.0,0.0,269,1.0,0,0,15.4,14992.0,26.6,6.0,2019-02-23T15:00:00Z,23 Feb 15:00,0.0,0.0,80,0.0,2.0,10,0,0.0,0,0,3.0,0,27,0,32647,0.0,1.0,1.0,0,2,52.0,3,16531,17518,987,60,True,0.0,0
0,25.0,0.0,1.0,0,2,1,1.0,22.0,27.6,0.0,0.0,587,0.0,0.0,279,0.0,0,0,5.6,15592.0,6.8,2.0,2019-02-26T20:00:00Z,26 Feb 20:00,0.0,0.0,79,0.0,1.0,4,0,0.0,0,0,4.0,0,28,0,62749,3.0,0.0,2.0,0,2,22.0,3,32884,34195,1311,60,True,0.0,0
0,26.0,0.0,0.0,0,10,0,1.0,23.0,3.8,1.0,0.0,587,0.0,0.0,289,1.0,2,0,1.5,16197.0,9.8,0.0,2019-03-02T17:30:00Z,02 Mar 17:30,0.0,0.0,90,1.0,0.0,19,0,0.0,0,0,7.0,0,29,0,72074,0.0,2.0,1.0,0,2,1.0,2,9901,13603,3702,60,False,0.0,0
1,25.0,0.0,0.0,0,14,0,2.0,16.0,2.3,1.0,0.0,587,0.0,0.0,299,1.0,2,0,4.4,16803.0,14.2,0.0,2019-03-09T15:00:00Z,09 Mar 15:00,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,5.0,0,30,0,71983,2.0,0.0,1.0,2,3,27.0,5,-131,5387,5518,60,True,0.0,0
1,31.0,0.0,0.0,0,19,0,1.0,22.0,26.8,0.0,0.0,587,0.0,0.0,301,1.0,2,0,3.8,17117.0,11.0,2.0,2019-03-16T15:00:00Z,16 Mar 15:00,0.0,0.0,81,1.0,1.0,2,0,0.0,0,0,5.0,0,31,0,89605,0.0,0.0,0.0,2,2,0.0,5,6366,8431,2065,60,False,0.0,0
0,20.0,0.0,0.0,0,10,0,1.0,12.0,4.9,1.0,0.0,587,0.0,0.0,311,0.0,2,0,1.2,18002.0,7.4,0.0,2019-04-01T19:00:00Z,01 Apr 20:00,0.0,0.0,90,1.0,1.0,1,0,0.0,0,0,9.0,0,32,0,57177,0.0,0.0,0.0,0,2,0.0,2,-13385,1516,14901,60,False,0.0,0
0,40.0,0.0,0.0,0,12,0,1.0,33.0,15.6,1.0,0.0,587,0.0,0.0,326,0.0,1,0,6.4,18391.0,8.8,1.0,2019-04-06T14:00:00Z,06 Apr 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,9.0,0,33,0,69726,3.0,0.0,0.0,1,0,40.0,2,3350,6044,2694,60,True,0.0,0
0,26.0,0.0,0.0,0,7,1,2.0,17.0,4.3,0.0,0.0,587,0.0,0.0,335,1.0,0,0,6.9,19052.0,7.0,0.0,2019-04-12T19:00:00Z,12 Apr 20:00,0.0,0.0,77,1.0,0.0,11,0,0.0,0,0,9.0,0,34,0,52523,2.0,1.0,1.0,1,0,58.0,3,-16179,556,16735,60,False,0.0,0
