assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,1,3.8,526,2,0,0,3.2,10.6,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,0,3,0,18.0,3,0,0,0,45,False,0
0,0,0,0,0.0,526,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,19,0,0,0,0,2,0,110619,1,2,0.0,0,64746,89849,25103,45,True,0
0,0,17,0,0.6,526,23,3,0,1.1,8.0,2020-09-28T19:00:00Z,90,11,0,0,0,0,3,0,110312,1,3,2.0,2,-3575,26010,29585,45,False,0
0,0,19,0,15.3,526,29,1,0,4.1,24.0,2020-10-04T13:00:00Z,90,15,0,0,0,0,4,0,115620,1,2,2.0,2,197,16308,16111,45,True,0
0,0,0,0,0.0,526,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,12,0,0,0,0,5,0,106618,0,1,0.0,0,-10678,9987,20665,45,False,0
0,0,0,0,0.0,526,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,106534,1,0,0.0,0,-3370,10509,13879,44,True,0
0,0,11,1,5.5,526,64,0,0,1.3,6.2,2020-11-01T16:30:00Z,90,13,0,0,0,0,7,0,108585,1,0,1.0,3,-80,11131,11211,44,False,0
0,0,12,0,13.6,526,69,3,0,2.5,10.6,2020-11-08T19:15:00Z,90,2,0,0,0,0,8,0,122825,3,0,1.0,2,11037,20099,9062,44,True,0
0,0,0,0,0.0,526,82,0,0,0.0,0.0,2020-11-22T16:30:00Z,0,10,0,0,0,0,9,0,113605,0,0,0.0,0,-7676,14460,22136,44,False,0
0,0,0,0,0.0,526,89,0,0,0.0,0.0,2020-11-29T19:15:00Z,0,20,0,0,0,0,10,0,104993,2,1,0.0,0,-9663,2230,11893,44,True,0
0,0,0,0,0.0,526,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,17,0,0,0,0,11,0,101792,0,2,0.0,0,-4187,4503,8690,44,False,0
0,0,12,0,15.3,526,109,1,0,3.1,16.0,2020-12-13T19:15:00Z,90,4,0,0,0,0,12,0,102339,1,0,0.0,1,-652,5076,5728,44,True,1
0,0,11,0,2.4,526,119,1,0,1.0,8.0,2020-12-16T18:00:00Z,90,16,0,0,0,0,13,0,102971,1,1,0.0,2,181,4661,4480,44,True,0
0,0,12,0,2.2,526,133,2,0,1.0,7.6,2020-12-19T17:30:00Z,63,7,0,0,0,0,14,0,102019,1,2,0.0,1,-1450,3560,5010,44,False,1
0,0,11,0,1.4,526,139,1,0,0.9,4.0,2020-12-26T17:30:00Z,90,5,0,0,0,0,15,0,104186,1,3,4.0,2,866,7568,6702,44,True,0
0,0,11,1,2.2,526,149,0,0,0.8,6.0,2020-12-29T18:00:00Z,90,3,0,0,0,0,16,0,108519,1,0,0.0,3,3708,8246,4538,44,False,0
0,0,0,0,0.0,526,168,0,0,0.0,0.0,2021-01-02T20:00:00Z,0,18,0,0,0,0,17,0,110296,4,0,0.0,0,1264,8446,7182,44,False,0
0,0,0,0,0.0,526,169,0,0,0.0,0.0,2021-01-14T20:00:00Z,0,6,0,0,0,0,18,0,100781,0,0,0.0,0,-6752,7425,14177,44,True,0
0,0,5,0,0.9,526,179,0,0,0.6,5.0,2021-01-18T20:00:00Z,23,14,0,0,0,0,19,0,95472,0,3,0.0,1,-8098,2606,10704,44,True,0
0,0,4,0,10.0,526,197,0,0,1.2,2.2,2021-01-26T20:15:00Z,12,16,0,0,0,0,20,0,89291,3,1,0.0,1,-7979,1947,9926,44,False,0
0,0,0,0,0.0,526,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,83705,0,0,0.0,0,-6052,2740,8792,43,True,0
0,0,0,0,0.0,526,215,0,0,0.0,0.0,2021-02-02T18:00:00Z,0,20,0,0,0,0,22,0,78974,1,2,0.0,0,-4871,851,5722,43,False,0
0,0,0,0,0.0,526,219,0,0,0.0,0.0,2021-02-06T12:30:00Z,0,2,0,0,0,0,23,0,75131,0,1,0.0,0,-4081,579,4660,43,False,0
0,0,3,0,0.4,526,229,0,0,0.3,2.6,2021-02-14T16:30:00Z,12,10,0,0,0,0,24,0,76604,2,4,0.0,1,250,5712,5462,42,True,0
0,0,14,0,2.8,526,239,1,0,1.2,8.2,2021-02-21T16:30:00Z,85,12,0,0,0,0,25,0,77121,1,0,1.0,2,242,4260,4018,42,True,0
0,0,11,0,1.4,526,253,1,0,0.4,2.8,2021-02-28T12:00:00Z,65,9,0,0,0,0,26,0,83320,3,1,0.0,2,3528,8619,5091,42,False,0
0,0,0,0,0.0,526,261,0,0,0.0,0.0,2021-03-06T12:30:00Z,0,4,0,0,0,0,27,0,84602,1,1,0.0,0,2826,6052,3226,42,False,0
0,0,3,0,0.1,526,269,0,0,0.0,0.0,2021-03-14T16:30:00Z,2,17,0,0,0,0,28,0,86082,1,2,0.0,1,1222,5157,3935,42,True,0
0,0,0,0,0.0,526,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,19,0,0,0,0,29,0,83263,3,3,0.0,0,-1861,1363,3224,42,False,0
0,0,3,0,0.4,526,289,3,0,0.0,0.0,2021-04-03T19:00:00Z,32,11,0,0,0,0,30,0,83583,3,0,0.0,1,-964,1707,2671,42,True,0
0,0,3,0,0.4,526,305,0,0,0.1,0.6,2021-04-11T18:00:00Z,7,15,0,0,0,0,31,0,83229,3,0,0.0,1,-505,2052,2557,42,False,0
0,0,10,0,3.3,526,309,1,0,1.2,8.4,2021-04-18T12:30:00Z,67,8,0,0,0,0,32,0,82778,1,1,0.0,2,-593,1732,2325,42,True,0
0,0,0,0,0.0,526,319,0,0,0.0,0.0,2021-04-23T19:00:00Z,0,7,0,0,0,0,33,0,82117,1,0,0.0,0,-817,954,1771,42,True,0
0,3,32,1,4.4,526,335,0,1,8.9,41.6,2021-05-02T13:00:00Z,90,14,0,0,0,0,34,0,81370,2,0,43.0,11,-757,668,1425,42,False,0
0,0,18,0,4.3,526,339,1,0,3.0,18.2,2021-05-09T18:00:00Z,90,18,0,0,0,0,35,0,94342,1,3,7.0,2,11083,13019,1936,42,True,0
0,0,12,1,2.7,526,354,0,0,0.6,2.8,2021-05-12T19:15:00Z,90,5,0,0,0,0,35,0,94342,1,0,0.0,3,11083,13019,1936,42,False,0
0,0,9,0,6.5,526,362,1,0,1.3,6.8,2021-05-19T18:00:00Z,90,6,0,0,0,0,37,0,109504,3,1,0.0,1,18078,20227,2149,42,False,1
0,0,0,0,0.0,526,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,110159,0,2,0.0,0,531,5221,4690,42,True,0
0,0,0,0,0.0,12,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,44765,0,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,12,18,0,0,0.0,0.0,2021-08-22T15:30:00Z,0,6,0,0,0,0,2,0,48273,2,0,0.0,0,-4460,3521,7981,45,True,0
0,0,2,0,0.3,12,24,2,0,0.4,3.4,2021-08-28T11:30:00Z,45,12,0,0,0,0,3,0,45705,0,5,0.0,1,-4833,2947,7780,45,False,0
0,0,0,0,0.0,12,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,40279,0,1,0.0,0,-7363,6127,13490,45,True,0
0,0,0,0,0.0,12,43,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,5,0,0,0,0,5,0,33035,1,0,0.0,0,-7435,613,8048,45,False,0
0,0,0,0,0.0,12,51,0,0,0.0,0.0,2021-09-26T15:30:00Z,0,17,0,0,0,0,6,0,31264,1,3,0.0,0,-2583,1280,3863,45,True,0
0,0,0,0,0.0,12,61,0,0,0.0,0.0,2021-10-02T16:30:00Z,0,4,0,0,0,0,7,0,30901,0,0,0.0,0,-1074,1305,2379,45,False,0
0,0,0,0,0.0,12,71,0,0,0.0,0.0,2021-10-18T19:00:00Z,0,7,0,0,0,0,8,0,30546,2,2,0.0,0,-1026,1199,2225,45,True,0
0,0,0,0,0.0,12,81,0,0,0.0,0.0,2021-10-22T19:00:00Z,0,2,0,0,0,0,9,0,30281,1,3,0.0,0,-650,957,1607,45,True,0
0,0,0,0,0.0,12,93,0,0,0.0,0.0,2021-10-30T11:30:00Z,0,9,0,0,0,0,10,0,29641,2,0,0.0,0,-1260,1064,2324,45,False,0
0,0,8,0,20.3,12,101,0,0,3.1,6.8,2021-11-07T14:00:00Z,4,18,0,0,0,0,11,0,28998,0,1,4.0,1,-1006,568,1574,45,True,0
0,0,3,0,0.5,12,114,0,0,0.1,0.6,2021-11-20T17:30:00Z,6,11,0,0,0,0,12,0,29094,0,4,0.0,1,-380,978,1358,44,False,0
0,0,4,0,10.3,12,121,0,0,1.3,2.2,2021-11-27T12:30:00Z,5,14,0,0,0,0,13,0,30158,0,2,0.0,1,592,1818,1226,44,True,0
1,0,19,0,16.8,12,134,3,0,4.7,27.4,2021-12-02T20:15:00Z,90,13,0,0,0,0,14,0,30852,2,3,3.0,5,468,1373,905,44,False,0
0,0,0,0,0.0,12,142,0,0,0.0,0.0,2021-12-06T20:00:00Z,0,8,0,0,0,0,15,0,34250,1,2,0.0,0,2799,4117,1318,44,False,0
0,0,0,0,0.0,12,151,0,0,0.0,0.0,2021-12-11T15:00:00Z,0,16,0,0,0,0,16,0,36005,0,3,0.0,0,736,3082,2346,44,True,0
0,0,0,0,0.0,12,161,0,0,0.0,0.0,2021-12-15T20:00:00Z,0,19,0,0,0,0,17,0,33945,0,2,0.0,0,-1414,1125,2539,44,True,0
0,0,0,0,0.0,12,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,10,0,0,0,0,18,0,34218,4,1,0.0,0,-674,1325,1999,44,False,0
0,0,3,0,0.3,12,187,0,0,0.2,1.8,2021-12-26T15:00:00Z,15,15,0,0,0,0,19,0,32112,5,0,0.0,1,-1429,660,2089,44,False,0
0,0,3,0,0.8,12,201,1,0,0.3,2.2,2022-01-01T12:30:00Z,6,12,0,0,0,0,21,0,31224,2,1,0.0,1,-625,428,1053,44,True,0
0,0,0,0,0.0,12,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,5,0,0,0,0,23,0,28101,0,0,0.0,0,-950,30,980,44,True,0
0,0,0,0,0.0,12,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,20,0,0,0,0,24,0,27589,1,0,0.0,0,-591,79,670,44,False,0
0,0,0,0,0.0,12,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,3,0,0,0,0,26,0,27550,1,2,0.0,0,-12,411,423,44,True,0
0,0,0,0,0.0,12,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,20,0,0,0,0,26,0,27550,1,2,0.0,0,-12,411,423,44,True,0
0,0,0,0,0.0,12,279,0,0,0.0,0.0,2022-03-06T14:00:00Z,0,18,0,0,0,0,28,0,27428,3,2,0.0,0,-148,225,373,44,False,0
0,0,0,0,0.0,12,281,0,0,0.0,0.0,2022-03-13T16:30:00Z,0,9,0,0,0,0,29,0,27379,0,2,0.0,0,-142,254,396,44,True,0
0,0,0,0,0.0,12,261,0,0,0.0,0.0,2022-03-16T20:15:00Z,0,11,0,0,0,0,29,0,27379,2,0,0.0,0,-142,254,396,44,True,0
0,0,0,0,0.0,12,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,27195,1,0,0.0,0,-155,137,292,44,False,0
0,0,0,0,0.0,12,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,7,0,0,0,0,31,0,27231,0,3,0.0,0,-132,105,237,44,False,0
0,0,0,0,0.0,12,311,0,0,0.0,0.0,2022-04-09T14:00:00Z,0,4,0,0,0,0,32,0,27205,2,1,0.0,0,-71,94,165,44,True,0
0,0,0,0,0.0,12,326,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,16,0,0,0,0,33,0,27141,0,1,0.0,0,-92,149,241,44,False,0
0,0,18,0,13.5,12,243,2,0,3.8,16.2,2022-04-20T18:45:00Z,90,6,0,0,0,0,33,0,27141,4,2,8.0,2,-92,149,241,44,False,0
1,0,23,0,15.3,12,331,1,0,5.5,32.2,2022-04-23T11:30:00Z,90,13,0,0,0,0,34,0,27769,1,3,7.0,4,506,734,228,44,True,1
0,0,15,0,12.9,12,349,1,0,2.5,11.4,2022-05-01T15:30:00Z,90,19,0,0,0,0,35,0,30797,2,1,1.0,2,2756,3170,414,44,False,0
0,0,14,0,18.4,12,351,1,0,3.6,17.6,2022-05-08T13:00:00Z,90,10,0,0,0,0,36,0,32892,1,2,0.0,2,1752,2669,917,44,True,0
0,0,15,0,2.8,12,218,3,0,1.7,12.0,2022-05-12T18:45:00Z,90,17,0,0,0,0,36,0,32892,0,3,2.0,2,1752,2669,917,44,False,0
0,0,14,0,12.3,12,365,2,0,4.1,14.0,2022-05-16T19:00:00Z,90,14,0,0,0,0,37,0,33512,0,2,15.0,2,486,1733,1247,44,False,0
0,0,15,0,0.0,12,371,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,8,0,0,0,0,38,0,34283,1,5,0.0,2,633,1673,1040,44,True,0
