assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,235,0,0,0,0.0,14405,0.0,0,2017-02-05T16:00:00Z,05 Feb 16:00,0,0,0,0,0,11,0,0,0,0,0,0,24,0,68,0,0,0,3,0,0.0,0,54,58,4,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,249,0,0,0,0.0,15054,0.0,0,2017-02-12T16:00:00Z,12 Feb 16:00,0,0,0,0,0,16,0,0,0,0,0,0,25,0,101,0,0,0,0,2,0.0,0,12,27,15,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,255,0,0,0,0.0,15580,0.0,0,2017-02-27T20:00:00Z,27 Feb 20:00,0,0,0,0,0,9,0,0,0,0,0,0,26,0,111,0,0,0,1,3,0.0,0,-14,14,28,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,261,0,0,0,0.0,16293,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,7,0,0,0,0,0,0,27,0,112,0,0,0,1,3,0.0,0,-7,7,14,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,290,0,0,0,0.0,17201,0.0,0,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,0,0,0,20,0,0,0,0,0,0,29,0,117,0,0,0,3,2,0.0,0,-8,7,15,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,295,0,0,0,0.0,17855,0.0,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,0,0,0,14,0,0,0,0,0,0,30,0,122,0,0,0,0,2,0.0,0,-4,9,13,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,304,0,0,0,0.0,18512,0.0,0,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,0,0,0,15,0,0,0,0,0,0,31,0,127,0,0,0,0,2,0.0,0,3,8,5,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,313,0,0,0,0.0,19173,0.0,0,2017-04-09T15:00:00Z,09 Apr 16:00,0,0,0,0,0,6,0,0,0,0,0,0,32,0,128,0,0,0,2,4,0.0,0,1,9,8,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,321,0,0,0,0.0,19835,0.0,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,0,0,0,5,0,0,0,0,0,0,33,0,133,0,0,0,2,2,0.0,0,5,6,1,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,645,0,0,271,0,0,0,0.0,20567,0.0,0,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,0,0,0,1,0,0,0,0,0,0,34,0,136,0,0,0,0,1,0.0,0,1,12,11,44,False,0,0
