assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,57.0,0.0,0.0,0,10,0,2.0,54.0,4.2,1.0,0.0,95,0.0,0.0,10,2.0,1,0,2.2,95.0,10.0,0.0,2016-08-15T19:00:00Z,15 Aug 20:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,8.0,0,1,0,825864,1.0,0.0,0.0,1,2,8.0,1,0,0,0,50,True,0.0,1,,,,,
0,65.0,0.0,0.0,0,12,0,3.0,62.0,16.7,1.0,0.0,95,0.0,0.0,17,4.0,1,0,2.6,620.0,7.8,1.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,11.0,0,2,0,854905,1.0,0.0,1.0,2,1,1.0,2,-41381,16057,57438,50,False,0.0,0,,,,,
0,62.0,0.0,0.0,0,18,1,2.0,58.0,6.1,0.0,0.0,95,0.0,0.0,21,0.0,0,0,1.7,1160.0,9.8,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,8.0,0,3,0,830512,0.0,2.0,1.0,0,3,1.0,3,-54020,23273,77293,50,True,0.0,0,,,,,
0,52.0,0.0,0.0,0,14,0,5.0,49.0,12.9,0.0,0.0,95,0.0,0.0,39,2.0,2,0,4.0,1710.0,14.4,1.0,2016-09-11T15:00:00Z,11 Sep 16:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,12.0,0,4,0,776013,1.0,0.0,2.0,2,2,13.0,2,-75321,17004,92325,50,False,0.0,0,,,,,
0,68.0,0.0,0.0,0,11,0,4.0,63.0,4.9,2.0,0.0,95,0.0,0.0,41,1.0,2,0,2.1,2291.0,9.2,0.0,2016-09-16T19:00:00Z,16 Sep 20:00,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,5.0,0,5,0,714429,3.0,0.0,2.0,2,1,7.0,2,-69139,6887,76026,49,True,0.0,0,,,,,
0,71.0,0.0,0.0,0,19,0,5.0,58.0,5.4,0.0,0.0,95,0.0,0.0,51,2.0,3,0,1.9,2875.0,14.0,0.0,2016-09-24T16:30:00Z,24 Sep 17:30,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,9.0,0,6,0,640901,2.0,4.0,0.0,0,3,0.0,2,-79534,6141,85675,49,False,0.0,0,,,,,
0,79.0,0.0,1.0,0,15,1,5.0,70.0,30.3,3.0,0.0,95,0.0,0.0,63,1.0,0,0,6.7,3461.0,24.0,2.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,13.0,0,7,0,604699,1.0,0.0,1.0,2,0,13.0,3,-39531,5106,44637,48,False,0.0,0,,,,,
0,86.0,1.0,1.0,0,22,1,5.0,75.0,29.1,2.0,0.0,95,0.0,0.0,73,0.0,0,0,6.9,4050.0,22.0,2.0,2016-10-15T11:30:00Z,15 Oct 12:30,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,8.0,0,8,0,584190,0.0,2.0,0.0,0,3,18.0,3,-25111,6235,31346,48,True,0.0,0,,,,,
0,65.0,0.0,0.0,0,34,1,5.0,57.0,26.2,1.0,0.0,95,0.0,0.0,84,0.0,0,1,10.2,4642.0,49.2,2.0,2016-10-23T15:00:00Z,23 Oct 16:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,8.0,0,9,0,566591,1.0,0.0,0.0,0,4,27.0,8,-20381,5032,25413,48,True,0.0,0,,,,,
0,51.0,0.0,0.0,0,18,1,9.0,47.0,4.7,1.0,0.0,95,0.0,0.0,95,1.0,0,0,2.3,5236.0,18.2,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,7.0,0,10,0,582712,2.0,1.0,0.0,2,0,0.0,3,11647,20947,9300,48,False,0.0,0,,,,,
