assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,5,0.0,0,0,0.0,221.0,0.0,0.0,2016-08-13T16:30:00Z,13 Aug 17:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,1,0,55627,0.0,0.0,0.0,1,2,0.0,0,0,0,0,50,True,0.0,0
0,38.0,0.0,0.0,0,7,0,5.0,30.0,1.8,3.0,0.0,221,0.0,0.0,14,2.0,1,0,1.4,746.0,12.2,0.0,2016-08-20T11:30:00Z,20 Aug 12:30,0.0,0.0,90,1.0,0.0,14,0,0.0,0,0,4.0,0,2,0,55054,1.0,0.0,0.0,4,1,0.0,1,-8877,1253,10130,50,False,0.0,1
0,54.0,0.0,0.0,0,15,0,2.0,45.0,3.9,0.0,0.0,221,0.0,0.0,29,0.0,1,0,1.7,1286.0,13.4,0.0,2016-08-28T15:00:00Z,28 Aug 16:00,0.0,0.0,90,1.0,0.0,20,0,0.0,0,0,6.0,0,3,0,59822,1.0,2.0,0.0,1,3,0.0,2,-201,5152,5353,49,True,0.0,0
0,1.0,0.0,0.0,0,3,0,2.0,1.0,0.0,0.0,0.0,221,0.0,0.0,35,1.0,0,0,0.2,1836.0,2.2,0.0,2016-09-10T11:30:00Z,10 Sep 12:30,0.0,0.0,1,0.0,0.0,11,0,0.0,0,0,0.0,0,4,0,63016,0.0,0.0,0.0,2,1,0.0,1,-825,5285,6110,49,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,45,0.0,0,0,0.0,2417.0,0.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,5,0,61271,0.0,0.0,0.0,0,4,0.0,0,-3251,1573,4824,49,True,0.0,0
0,6.0,0.0,0.0,0,4,0,2.0,4.0,0.3,0.0,0.0,221,0.0,0.0,58,0.0,0,0,0.3,3001.0,2.4,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,13,0.0,0.0,16,0,0.0,0,0,0.0,0,6,0,55836,0.0,0.0,0.0,3,1,0.0,1,-6437,923,7360,48,False,0.0,0
0,33.0,0.0,0.0,0,13,0,8.0,25.0,2.3,0.0,0.0,221,0.0,0.0,68,1.0,2,0,2.2,3587.0,18.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,9.0,0,7,0,53966,0.0,0.0,0.0,0,2,2.0,1,-2692,1134,3826,48,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,76,0.0,0,0,0.0,4176.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,8,0,56333,0.0,0.0,0.0,1,1,0.0,0,1118,3651,2533,48,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,88,0.0,0,0,0.0,4768.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,9,0,51483,0.0,0.0,0.0,1,1,0.0,0,-5235,546,5781,48,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,100,0.0,0,0,0.0,5362.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,10,0,46909,0.0,0.0,0.0,4,0,0.0,0,-4690,81,4771,47,False,0.0,0
0,56.0,0.0,0.0,0,15,0,4.0,47.0,17.1,0.0,0.0,221,0.0,0.0,108,1.0,1,0,2.9,5960.0,11.6,1.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,1.0,0,11,0,46668,1.0,2.0,0.0,1,1,0.0,2,-595,1580,2175,47,True,0.0,0
0,25.0,0.0,0.0,0,3,0,2.0,16.0,1.9,1.0,0.0,221,0.0,0.0,111,0.0,1,0,1.1,6559.0,8.8,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,54,0.0,0.0,5,0,0.0,0,0,2.0,0,12,0,49083,2.0,0.0,0.0,2,1,0.0,1,1447,2536,1089,47,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,122,0.0,0,0,0.0,7160.0,0.0,0.0,2016-11-26T12:30:00Z,26 Nov 12:30,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,13,0,48286,0.0,0.0,0.0,2,1,0.0,0,-1113,618,1731,47,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,134,0.0,0,0,0.0,7764.0,0.0,0.0,2016-12-03T12:30:00Z,03 Dec 12:30,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,14,0,47645,0.0,0.0,0.0,3,1,0.0,0,-966,505,1471,47,True,0.0,0
0,78.0,0.0,0.0,0,14,0,2.0,74.0,57.7,0.0,0.0,221,0.0,0.0,145,0.0,4,0,11.6,8369.0,22.4,3.0,2016-12-10T17:30:00Z,10 Dec 17:30,0.0,0.0,90,1.0,2.0,8,0,0.0,0,0,2.0,0,15,0,47098,3.0,0.0,0.0,2,4,36.0,0,-927,502,1429,47,False,0.0,0
0,39.0,0.0,0.0,3,38,1,6.0,27.0,13.3,1.0,0.0,221,0.0,0.0,157,2.0,0,1,9.4,8979.0,47.8,1.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,3.0,0,16,0,46903,0.0,2.0,0.0,0,2,33.0,14,-404,543,947,47,True,1.0,1
0,26.0,0.0,0.0,0,2,0,1.0,25.0,3.2,0.0,0.0,221,0.0,0.0,164,0.0,1,0,1.5,9593.0,1.8,0.0,2016-12-18T16:00:00Z,18 Dec 16:00,0.0,0.0,45,0.0,0.0,1,0,0.0,0,0,2.0,0,17,0,52452,1.0,0.0,0.0,1,2,10.0,1,5005,5454,449,47,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,174,0.0,0,0,0.0,10209.0,0.0,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,18,0,50349,0.0,0.0,0.0,3,0,0.0,0,-2484,1829,4313,47,False,0.0,0
0,66.0,0.0,0.0,1,26,0,12.0,54.0,3.3,1.0,0.0,221,0.0,0.0,186,2.0,1,0,3.7,10827.0,31.4,0.0,2016-12-31T17:30:00Z,31 Dec 17:30,0.0,0.0,85,0.0,0.0,9,0,0.0,0,0,5.0,0,19,0,51374,0.0,5.0,0.0,0,1,2.0,3,550,1919,1369,47,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,194,0.0,0,0,0.0,11449.0,0.0,0.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,20,0,56527,0.0,0.0,0.0,1,2,0.0,0,4649,6094,1445,47,True,0.0,0
0,31.0,0.0,0.0,0,14,0,3.0,28.0,1.8,1.0,0.0,221,0.0,0.0,202,0.0,2,0,1.0,12073.0,7.8,0.0,2017-01-15T13:30:00Z,15 Jan 13:30,0.0,0.0,61,1.0,0.0,6,0,0.0,0,0,4.0,0,21,0,56782,0.0,0.0,0.0,0,4,0.0,1,-828,3515,4343,47,False,0.0,0
0,33.0,0.0,0.0,0,15,0,4.0,22.0,22.2,0.0,0.0,221,0.0,0.0,216,1.0,2,0,4.2,12704.0,12.8,1.0,2017-01-21T17:30:00Z,21 Jan 17:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,3.0,0,22,0,55555,0.0,4.0,2.0,2,2,7.0,1,-1584,988,2572,47,True,0.0,0
