assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,30.0,0.0,0.0,0,17,0,0.0,8.0,0.0,0.0,0.0,286,0.0,0.0,10,0.0,2,0,2.5,286.0,25.4,0.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,10.0,0,1,4,694817,0.0,0.0,0.0,2,0,0.0,2,0,0,0,40,True,0.0,0
0,45.0,0.0,0.0,0,12,0,1.0,28.0,0.0,0.0,0.0,286,0.0,0.0,18,0.0,1,0,1.2,797.0,12.4,0.0,2017-08-20T12:30:00Z,20 Aug 13:30,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,7.0,0,2,2,816266,0.0,0.0,0.0,0,1,0.0,2,41886,51913,10027,40,False,0.0,0
0,25.0,0.0,0.0,0,26,1,0.0,13.0,0.0,0.0,0.0,286,0.0,0.0,26,0.0,0,0,2.2,1313.0,21.6,0.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,8.0,0,3,3,887497,0.0,0.0,0.0,0,3,0.0,7,43737,64245,20508,40,True,0.0,0
0,24.0,0.0,0.0,1,27,1,2.0,11.0,0.0,0.0,0.0,286,0.0,0.0,39,0.0,0,0,2.3,1844.0,22.6,0.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,7.0,0,4,3,993621,0.0,0.0,0.0,1,0,0.0,8,77539,93467,15928,40,False,0.0,0
0,28.0,0.0,0.0,0,14,0,2.0,18.0,0.0,0.0,0.0,286,0.0,0.0,45,0.0,1,0,2.2,2388.0,22.4,0.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,5.0,0,5,3,1107360,0.0,0.0,0.0,1,2,0.0,3,96432,104125,7693,41,True,0.0,0
0,23.0,0.0,0.0,0,14,0,2.0,11.0,0.0,0.0,0.0,286,0.0,0.0,59,0.0,1,0,1.5,2934.0,15.0,0.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,9.0,0,6,2,1196849,0.0,0.0,0.0,0,1,0.0,2,73873,89498,15625,41,False,0.0,0
0,34.0,0.0,0.0,0,10,0,1.0,15.0,0.0,0.0,0.0,286,0.0,0.0,70,0.0,1,0,0.9,3484.0,9.4,0.0,2017-10-01T15:30:00Z,01 Oct 16:30,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,8.0,0,7,1,1264555,0.0,0.0,0.0,1,1,0.0,2,55462,71982,16520,41,True,0.0,0
0,29.0,0.0,0.0,0,10,0,3.0,14.0,0.0,0.0,0.0,286,0.0,0.0,77,0.0,2,0,0.5,4038.0,5.0,0.0,2017-10-15T15:00:00Z,15 Oct 16:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,9.0,0,8,0,1329917,0.0,0.0,0.0,2,2,0.0,1,53295,70065,16770,41,False,0.0,0
0,33.0,0.0,0.0,1,23,1,1.0,27.0,0.0,0.0,0.0,286,0.0,0.0,85,0.0,0,0,0.6,4595.0,5.8,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,5.0,0,9,0,1360871,0.0,0.0,0.0,0,1,0.0,7,25674,37136,11462,41,True,0.0,0
0,41.0,0.0,0.0,0,17,0,0.0,20.0,0.0,0.0,0.0,286,0.0,0.0,94,0.0,1,0,3.2,5154.0,31.6,0.0,2017-10-30T20:00:00Z,30 Oct 20:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,9.0,0,10,4,1395297,0.0,0.0,0.0,0,1,0.0,3,26566,47097,20531,42,False,0.0,0
