assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,173,0,0,4,0,0,0,0.0,173,0.0,0,2016-08-13T11:30:00Z,13 Aug 12:30,0,0,0,0,0,7,0,0,0,0,0,0,1,0,31577,0,0,0,1,2,0.0,0,0,0,0,50,False,0,0
0,13,0,0,0,24,1,8,7,0.3,0,0,173,0,0,13,1,0,0,1.8,698,15.6,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,90,0,0,1,0,0,0,0,3,0,2,0,40249,0,1,0,0,0,2.0,6,-763,1591,2354,50,True,0,0
1,29,0,0,0,15,0,4,24,10.3,0,0,173,0,0,25,1,1,0,4.3,1238,22.4,1,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,90,0,0,16,0,0,0,0,4,0,3,0,56163,0,0,0,1,2,10.0,4,7441,9938,2497,50,True,0,1
0,19,0,0,0,4,0,5,12,0.1,0,0,173,0,0,34,2,4,0,1.9,1788,5.0,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,90,0,0,9,0,0,0,0,3,0,4,0,66459,0,1,2,1,4,14.0,-1,3076,7173,4097,50,False,0,1
0,24,0,0,0,20,1,6,21,0.1,0,0,173,0,0,44,2,0,0,0.8,2369,8.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,90,0,0,3,0,0,0,0,3,0,5,0,67194,0,0,0,0,3,0.0,6,-1135,3118,4253,50,True,0,0
0,22,0,0,0,3,0,6,19,0.3,0,0,173,0,0,54,2,4,0,2.6,2953,9.4,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,90,0,0,11,0,0,0,0,2,0,6,0,71638,0,0,1,1,4,16.0,-1,2016,5465,3449,50,False,0,1
0,40,0,0,0,27,1,9,30,0.1,0,0,173,0,0,64,0,0,0,4.6,3539,19.8,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,90,0,0,13,0,0,0,0,11,0,7,0,69933,0,0,0,0,0,26.0,6,-2745,2060,4805,50,True,0,0
0,23,0,0,0,6,0,5,19,1.3,0,0,173,0,0,73,2,3,0,1.1,4128,8.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,90,0,0,4,0,0,0,0,4,0,8,0,71371,0,1,0,0,3,2.0,0,-309,2530,2839,50,False,0,1
0,19,0,0,0,15,0,12,13,1.0,0,0,173,0,0,86,0,1,0,4.9,4720,29.8,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,5,0,0,0,0,3,0,9,0,71992,0,1,0,1,3,18.0,2,-62,3423,3485,50,True,0,0
0,7,0,0,0,4,0,7,2,0.0,0,0,173,0,0,98,4,1,0,1.5,5314,11.4,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,90,0,0,17,0,1,0,0,0,0,10,0,70077,0,1,0,1,1,4.0,2,-2437,810,3247,50,False,0,0
