assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,14,0,0.2,491,3,4,0,4.2,23.4,2020-09-12T16:30:00Z,90,11,0,0,0,0,1,0,33230,3,4,18.0,0,0,0,0,45,False,0,,,,,
0,0,9,0,0.3,491,13,3,0,3.4,12.4,2020-09-19T14:00:00Z,90,8,0,0,0,0,2,0,40440,3,4,21.0,1,356,5015,4659,45,True,0,,,,,
0,0,25,1,0.3,491,25,0,0,1.8,18.0,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,0,39477,1,0,0.0,6,-2971,4413,7384,45,False,0,,,,,
0,0,11,0,0.8,491,33,1,0,1.5,14.2,2020-10-03T16:30:00Z,90,12,0,0,0,0,4,0,40604,1,1,0.0,2,-470,2893,3363,45,True,0,,,,,
0,0,16,0,0.8,491,42,1,0,2.1,18.4,2020-10-19T19:00:00Z,90,20,0,0,0,0,5,0,44408,1,0,2.0,2,1577,5438,3861,45,True,0,,,,,
0,2,29,1,0.3,491,50,0,0,2.1,16.2,2020-10-23T19:00:00Z,90,2,0,0,0,0,6,0,46458,3,0,4.0,8,1282,4124,2842,45,False,0,,,,,
0,0,8,0,1.4,491,62,4,0,1.6,8.8,2020-11-02T20:00:00Z,90,9,0,0,0,0,7,0,65455,4,1,6.0,0,15985,18372,2387,45,True,0,,,,,
0,0,16,0,11.5,491,72,4,0,6.6,34.4,2020-11-07T15:00:00Z,90,6,0,0,0,0,8,0,64921,1,4,20.0,0,-192,4609,4801,45,False,0,,,,,
0,0,28,1,33.0,491,82,0,0,6.8,17.0,2020-11-22T16:30:00Z,90,1,0,0,0,0,9,0,59778,0,0,18.0,6,-5302,1499,6801,45,True,0,,,,,
0,0,21,1,0.3,491,93,0,0,1.3,13.0,2020-11-28T17:30:00Z,90,7,0,0,0,0,10,0,60051,1,0,0.0,6,-548,1846,2394,45,False,0,,,,,
0,0,3,0,0.0,491,102,0,0,0.0,0.2,2020-12-05T20:00:00Z,8,5,0,0,0,0,11,0,61901,1,3,0.0,1,1212,3393,2181,45,False,0,,,,,
0,0,0,0,0.0,491,113,0,0,0.0,0.0,2020-12-11T20:00:00Z,0,19,0,0,0,0,12,0,49018,2,1,0.0,0,-12618,561,13179,45,True,0,,,,,
0,0,0,0,0.0,491,122,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,14,0,0,0,0,13,0,40474,2,5,0.0,0,-8766,53,8819,45,True,0,,,,,
0,0,0,0,0.0,491,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,13,0,0,0,0,14,0,35375,2,6,0.0,0,-5298,49,5347,44,False,0,,,,,
0,0,0,0,0.0,491,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,4,0,0,0,0,15,0,31048,0,1,0.0,0,-4296,108,4404,44,True,0,,,,,
0,0,0,0,0.0,491,158,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,18,0,0,0,0,16,0,29599,5,0,0.0,0,-1587,30,1617,44,False,0,,,,,
0,0,0,0,0.0,491,167,0,0,0.0,0.0,2021-01-02T12:30:00Z,0,17,0,0,0,0,17,0,27736,0,3,0.0,0,-1918,52,1970,44,False,0,,,,,
