assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,67.0,1.0,0.0,0,18,0,8.0,52.0,25.4,1.0,0.0,427,0.0,0.0,10,2.0,2,0,5.1,427.0,26.0,2.0,2018-08-11T16:30:00Z,11 Aug 17:30,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,6.0,0,1,0,234162,0.0,0.0,0.0,2,2,0.0,1,0,0,0,40,True,0.0,0
0,46.0,0.0,0.0,0,9,0,5.0,35.0,1.6,0.0,0.0,427,0.0,0.0,17,2.0,2,0,1.8,952.0,16.8,0.0,2018-08-18T14:00:00Z,18 Aug 15:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,4.0,0,2,0,319876,0.0,0.0,0.0,0,2,0.0,1,40454,63000,22546,40,False,0.0,0
0,15.0,0.0,0.0,0,9,0,9.0,9.0,0.2,0.0,0.0,427,0.0,0.0,30,2.0,1,0,1.5,1479.0,15.0,0.0,2018-08-25T11:30:00Z,25 Aug 12:30,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,3.0,0,3,0,371884,0.0,0.0,0.0,1,1,0.0,2,38547,78984,40437,40,True,0.0,0
0,41.0,0.0,0.0,0,26,1,5.0,37.0,0.6,0.0,0.0,427,0.0,0.0,40,2.0,0,0,1.6,2010.0,15.8,0.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,8.0,0,4,0,441242,1.0,2.0,0.0,1,0,0.0,5,57465,86381,28916,40,False,0.0,1
0,47.0,0.0,0.0,0,26,1,5.0,42.0,11.8,0.0,0.0,427,0.0,0.0,50,1.0,0,0,3.0,2547.0,18.4,1.0,2018-09-16T12:30:00Z,16 Sep 13:30,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,1.0,0,5,0,546106,0.0,1.0,0.0,0,1,0.0,6,90609,129307,38698,41,True,0.0,0
0,26.0,0.0,0.0,0,11,0,12.0,21.0,0.3,0.0,0.0,427,0.0,0.0,59,1.0,1,0,2.7,3084.0,22.4,0.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,4.0,0,6,0,585640,0.0,0.0,1.0,1,1,4.0,2,38370,59504,21134,41,False,0.0,0
0,28.0,0.0,0.0,0,20,1,6.0,22.0,0.5,0.0,0.0,427,0.0,0.0,70,1.0,0,0,4.0,3622.0,22.2,0.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,0.0,0,7,0,624717,0.0,0.0,0.0,0,2,17.0,6,35250,50129,14879,41,True,0.0,0
0,30.0,0.0,0.0,1,24,1,5.0,21.0,0.1,0.0,0.0,427,0.0,0.0,73,0.0,0,0,1.2,4161.0,11.8,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,6.0,0,8,0,657538,0.0,0.0,0.0,1,0,0.0,7,30661,44077,13416,41,False,0.0,0
0,45.0,0.0,0.0,0,7,0,7.0,36.0,11.4,0.0,0.0,427,0.0,0.0,90,5.0,2,0,5.1,4703.0,15.2,1.0,2018-10-20T14:00:00Z,20 Oct 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,5.0,0,9,0,702126,0.0,0.0,0.0,2,0,24.0,0,39641,64158,24517,42,True,0.0,1
0,58.0,0.0,1.0,0,9,0,6.0,44.0,2.3,0.0,0.0,427,0.0,0.0,91,2.0,1,0,3.9,5249.0,13.6,0.0,2018-10-27T14:00:00Z,27 Oct 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,6.0,0,10,0,697135,0.0,1.0,1.0,0,1,23.0,2,-3440,20763,24203,42,False,0.0,0
0,48.0,0.0,0.0,0,8,0,4.0,37.0,1.8,0.0,0.0,427,0.0,0.0,110,1.0,3,0,1.4,5797.0,10.6,0.0,2018-11-03T19:45:00Z,03 Nov 19:45,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,7.0,0,11,0,681110,0.0,0.0,0.0,3,2,2.0,0,-16708,15056,31764,42,True,0.0,1
