assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,20,0,0,0,5,1,1,13,11.8,1,0,63,0,0,1,1,0,0,2.0,63,6.6,1,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,74,0,0,16,0,0,0,0,4,0,1,0,4381,3,0,0,1,0,2.0,3,0,0,0,55,True,0,0
0,20,0,0,0,11,1,9,12,2.1,0,0,63,0,0,12,4,0,0,0.8,588,6.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,90,0,0,9,0,0,0,0,3,0,2,0,4707,0,2,0,0,2,0.0,3,-290,183,473,55,True,0,0
0,19,0,0,0,5,0,2,10,0.6,1,0,63,0,0,21,2,2,0,0.3,1128,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,56,0,0,4,0,0,0,0,6,0,3,0,4882,1,1,1,0,3,4.0,1,-203,413,616,55,False,0,0
0,6,0,0,0,0,0,2,3,10.3,0,0,63,0,0,33,2,1,0,1.2,1678,1.2,1,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,15,0,0,7,0,0,0,0,1,0,4,0,4404,0,0,0,1,1,0.0,0,-566,144,710,55,True,0,1
0,17,1,0,0,9,0,1,10,12.2,0,0,63,0,0,44,0,2,0,2.0,2259,5.8,1,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,56,0,0,8,0,0,0,0,7,0,5,0,3714,2,1,0,0,3,2.0,1,-718,10,728,54,False,0,0
0,7,0,0,0,3,0,2,4,0.3,0,0,63,0,0,60,2,0,0,0.7,2843,6.4,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,8,0,0,18,0,0,0,0,2,0,6,0,3267,1,1,0,0,2,0.0,1,-483,17,500,53,True,0,0
0,13,0,0,0,4,0,1,9,14.7,0,0,63,0,0,61,1,1,0,1.9,3429,3.8,1,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,29,0,1,1,0,0,0,0,3,0,7,0,2966,1,0,0,1,0,0.0,1,-311,11,322,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,63,0,0,78,0,0,0,0.0,4018,0.0,0,2016-10-16T15:00:00Z,16 Oct 16:00,0,0,0,0,0,13,0,0,0,0,0,0,8,0,2786,0,0,0,1,3,0.0,0,-197,10,207,52,False,0,0
1,20,0,0,3,34,0,6,16,17.9,1,0,63,0,0,83,4,1,1,8.7,4610,40.2,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,6,0,0,0,0,7,0,9,0,2608,1,0,1,1,2,29.0,12,-190,5,195,52,True,1,1
0,24,0,0,0,7,1,4,18,13.9,1,0,63,0,0,93,1,0,0,2.3,5204,2.2,1,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,90,0,0,11,0,0,0,0,6,0,10,0,3567,2,0,2,0,0,7.0,3,816,947,131,52,False,0,0
