assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,31,0.0,0,0,0.0,2166.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,4,0,1766,0.0,0.0,0.0,1,2,0.0,0,1431,2908,1477,70,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,48,0.0,0,0,0.0,2747.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,5,0,1243,0.0,0.0,0.0,0,1,0.0,0,-615,72,687,70,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,59,0.0,0,0,0.0,3331.0,0.0,0.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,6,0,999,0.0,0.0,0.0,3,0,0.0,0,-303,45,348,69,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,64,0.0,0,0,0.0,3917.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,906,0.0,0.0,0.0,0,0,0.0,0,-113,30,143,69,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,78,0.0,0,0,0.0,4506.0,0.0,0.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,8,0,997,0.0,0.0,0.0,1,3,0.0,0,55,158,103,68,True,0.0,0
0,11.0,0.0,0.0,0,4,0,1.0,10.0,11.7,1.0,0.0,551,0.0,0.0,88,0.0,0,0,2.8,5098.0,5.8,1.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,21,0.0,0.0,10,0,0.0,0,0,1.0,0,9,0,1118,1.0,0.0,0.0,1,1,10.0,1,86,155,69,68,False,0.0,0
0,12.0,0.0,0.0,0,2,0,0.0,7.0,2.6,2.0,0.0,551,0.0,0.0,95,0.0,0,0,0.7,5692.0,4.2,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,30,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,3194,5.0,1.0,0.0,2,0,0.0,1,1969,2046,77,68,True,0.0,0
0,12.0,0.0,0.0,0,7,0,0.0,9.0,40.0,4.0,0.0,551,0.0,0.0,105,1.0,0,0,5.9,6290.0,13.0,3.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,25,0.0,2.0,7,0,0.0,0,0,2.0,0,11,0,3854,4.0,0.0,0.0,1,2,6.0,1,548,1134,586,68,False,0.0,0
0,20.0,0.0,0.0,0,9,1,2.0,12.0,3.8,2.0,0.0,551,0.0,0.0,115,0.0,0,0,1.3,6889.0,8.8,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,65,0.0,0.0,9,0,0.0,0,0,5.0,0,12,0,3231,7.0,3.0,0.0,0,0,0.0,3,-800,154,954,68,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,551,0.0,0.0,128,0.0,0,0,0.0,7490.0,0.0,0.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,13,0,3020,0.0,0.0,0.0,0,1,0.0,0,-263,190,453,68,True,0.0,0
