assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,18.0,0.0,0.0,0,14,0,7.0,13.0,0.5,2.0,0.0,66,0.0,0.0,2,1.0,2,0,1.6,66.0,15.4,0.0,2017-08-12T16:30:00Z,12 Aug 17:30,0.0,0.0,76,1.0,0.0,11,0,0.0,0,0,6.0,0,1,0,6536,1.0,2.0,0.0,2,0,0.0,2,0,0,0,50,True,0.0,0
0,41.0,1.0,0.0,0,14,0,2.0,34.0,8.7,1.0,0.0,66,0.0,0.0,13,1.0,2,0,4.0,577.0,14.4,1.0,2017-08-19T14:00:00Z,19 Aug 15:00,0.0,0.0,90,0.0,1.0,9,0,0.0,0,0,2.0,0,2,0,7454,2.0,0.0,0.0,0,2,17.0,2,-275,371,646,50,False,0.0,0
0,30.0,0.0,0.0,0,12,1,1.0,25.0,51.1,1.0,0.0,66,0.0,0.0,27,1.0,0,0,8.5,1093.0,11.4,4.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,90,0.0,2.0,18,0,0.0,0,0,5.0,0,3,0,7055,3.0,0.0,2.0,0,0,22.0,3,-654,256,910,50,False,0.0,0
1,24.0,0.0,0.0,0,13,0,5.0,19.0,15.0,1.0,0.0,66,0.0,0.0,32,2.0,1,0,5.9,1624.0,36.0,1.0,2017-09-09T14:00:00Z,09 Sep 15:00,0.0,0.0,90,0.0,1.0,19,0,0.0,0,0,11.0,0,4,0,7120,4.0,0.0,1.0,1,3,8.0,4,-266,588,854,50,True,0.0,1
0,26.0,0.0,0.0,0,30,0,1.0,20.0,16.5,3.0,0.0,66,0.0,0.0,41,2.0,2,1,9.7,2168.0,43.4,1.0,2017-09-15T19:00:00Z,15 Sep 20:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,6.0,0,5,0,8717,2.0,2.0,0.0,1,2,37.0,7,1254,2246,992,50,False,0.0,0
0,33.0,0.0,0.0,0,9,1,0.0,24.0,4.0,1.0,0.0,66,0.0,0.0,59,0.0,0,0,5.5,2714.0,11.6,0.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,7.0,0,6,0,15900,4.0,1.0,0.0,0,1,39.0,3,6175,8432,2257,50,True,0.0,0
0,17.0,0.0,0.0,0,4,0,3.0,11.0,2.3,1.0,0.0,66,0.0,0.0,68,0.0,2,0,1.4,3264.0,8.6,0.0,2017-10-01T11:00:00Z,01 Oct 12:00,0.0,0.0,71,0.0,0.0,1,0,0.0,0,0,5.0,0,7,0,23456,4.0,0.0,1.0,0,2,3.0,2,6626,10479,3853,50,False,0.0,0
0,27.0,0.0,0.0,0,4,1,1.0,22.0,1.8,1.0,0.0,66,0.0,0.0,71,0.0,0,0,0.9,3818.0,5.4,0.0,2017-10-15T12:30:00Z,15 Oct 13:30,0.0,0.0,72,0.0,0.0,7,0,0.0,0,0,10.0,0,8,0,34621,8.0,1.0,0.0,1,1,2.0,3,10155,14748,4593,50,True,0.0,0
0,6.0,0.0,0.0,0,1,0,0.0,3.0,0.1,0.0,0.0,66,0.0,0.0,90,1.0,0,0,0.9,4375.0,1.0,0.0,2017-10-20T19:00:00Z,20 Oct 20:00,0.0,0.0,20,0.0,0.0,20,0,0.0,0,0,2.0,0,9,0,34610,3.0,1.0,0.0,3,0,8.0,1,-284,2977,3261,50,False,0.0,0
0,2.0,0.0,0.0,0,3,0,0.0,2.0,0.0,0.0,0.0,66,0.0,0.0,93,0.0,0,0,0.0,4934.0,0.0,0.0,2017-10-29T13:30:00Z,29 Oct 13:30,0.0,0.0,3,0.0,0.0,14,0,0.0,0,0,1.0,0,10,0,30582,0.0,0.0,0.0,1,1,0.0,1,-4203,1607,5810,50,True,0.0,0
0,11.0,0.0,0.0,0,4,0,1.0,10.0,1.3,0.0,0.0,66,0.0,0.0,107,0.0,0,0,1.0,5497.0,6.8,0.0,2017-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,24,0.0,0.0,16,0,0.0,0,0,1.0,0,11,0,27258,1.0,1.0,0.0,1,0,2.0,1,-3405,496,3901,50,False,0.0,0
0,6.0,0.0,0.0,0,1,0,2.0,4.0,11.6,0.0,0.0,66,0.0,0.0,113,2.0,0,0,1.6,6063.0,4.0,1.0,2017-11-20T20:00:00Z,20 Nov 20:00,0.0,0.0,16,0.0,0.0,15,0,0.0,0,0,2.0,0,12,0,24487,2.0,0.0,0.0,2,2,0.0,1,-2856,339,3195,50,True,0.0,0
0,24.0,0.0,0.0,0,9,0,2.0,17.0,0.7,0.0,0.0,66,0.0,0.0,124,0.0,1,0,1.3,6632.0,8.4,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,74,0.0,0.0,12,0,0.0,0,0,6.0,0,13,0,22073,2.0,1.0,0.0,0,1,4.0,2,-2448,127,2575,50,False,0.0,0
0,10.0,0.0,0.0,0,2,0,0.0,8.0,1.2,1.0,0.0,66,0.0,0.0,131,0.0,0,0,0.3,7202.0,1.6,0.0,2017-11-28T19:45:00Z,28 Nov 19:45,0.0,0.0,19,0.0,0.0,6,0,0.0,0,0,1.0,0,14,0,20739,2.0,0.0,0.0,0,0,0.0,1,-1366,265,1631,50,True,0.0,0
0,6.0,0.0,0.0,0,4,0,0.0,6.0,1.1,0.0,0.0,66,0.0,0.0,143,0.0,2,0,0.3,7773.0,2.2,0.0,2017-12-02T15:00:00Z,02 Dec 15:00,0.0,0.0,20,0.0,0.0,10,0,0.0,0,0,0.0,0,15,0,19080,1.0,1.0,0.0,5,1,0.0,1,-1689,113,1802,50,True,0.0,0
0,23.0,0.0,0.0,0,6,0,0.0,20.0,4.3,2.0,0.0,66,0.0,0.0,153,0.0,0,0,1.4,8347.0,4.4,0.0,2017-12-09T15:00:00Z,09 Dec 15:00,0.0,0.0,45,0.0,0.0,8,0,0.0,0,0,6.0,0,16,0,17765,2.0,1.0,1.0,0,2,5.0,1,-1361,115,1476,50,False,0.0,0
0,5.0,0.0,0.0,0,2,0,0.0,5.0,0.5,1.0,0.0,66,0.0,0.0,169,3.0,1,0,0.3,8924.0,0.6,0.0,2017-12-13T20:00:00Z,13 Dec 20:00,0.0,0.0,28,0.0,0.0,17,0,0.0,0,0,2.0,0,17,0,16898,1.0,1.0,0.0,0,2,2.0,1,-892,56,948,50,False,0.0,0
