assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,26,0,0,3,46,1,5,13,4.3,1,0,188,0,0,4,1,0,2,11.6,188,71.6,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,85,2,0,6,0,0,0,0,2,0,1,0,27779,4,0,1,3,0,40.0,12,0,0,0,60,False,0,1
0,24,0,0,0,0,1,4,12,23.3,0,0,188,0,0,18,2,0,0,3.4,699,6.2,2,2017-08-20T12:30:00Z,20 Aug 13:30,0,0,90,4,0,13,0,0,0,0,1,0,2,0,210581,1,0,0,0,1,4.0,1,148215,160044,11829,61,True,0,1
0,24,0,1,0,1,1,0,14,4.4,0,0,188,0,0,24,1,0,0,7.5,1215,7.8,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,90,0,0,14,0,0,0,0,6,0,3,0,237280,4,2,3,0,0,63.0,2,17815,58390,40575,61,True,0,0
0,21,0,0,0,6,0,4,16,11.8,0,0,188,0,0,40,0,2,0,3.4,1746,15.6,1,2017-09-11T19:00:00Z,11 Sep 20:00,0,0,90,1,0,20,0,0,0,0,2,0,4,0,226803,2,0,0,0,2,7.0,2,-16683,36315,52998,61,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,43,0,0,0,0.0,2290,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,9,0,0,0,0,0,0,5,0,181841,0,0,0,1,1,0.0,0,-46202,10272,56474,61,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,51,0,0,0,0.0,2836,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,4,0,0,0,0,0,0,6,0,112900,0,0,0,0,0,0.0,0,-69130,1492,70622,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,63,0,0,0,0.0,3386,0.0,0,2017-09-30T11:30:00Z,30 Sep 12:30,0,0,0,0,0,17,0,0,0,0,0,0,7,0,75644,0,0,0,4,0,0.0,0,-37330,301,37631,59,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,78,0,0,0,0.0,3940,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,8,0,61086,0,0,0,0,2,0.0,0,-14601,315,14916,59,False,0,0
0,5,0,0,0,3,0,2,2,0.3,0,0,188,0,0,83,1,1,0,0.2,4497,1.4,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,20,0,0,12,0,0,0,0,2,0,9,0,54505,0,0,0,1,2,0.0,1,-6636,203,6839,58,True,0,0
0,9,0,0,0,3,0,0,6,0.8,1,0,188,0,0,97,0,1,0,0.4,5056,1.6,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,21,0,0,10,0,0,0,0,1,0,10,0,52320,1,0,0,0,3,2.0,1,-2389,1540,3929,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,103,0,0,0,0.0,5619,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,19,0,0,0,0,0,0,11,0,50043,0,0,0,0,1,0.0,0,-2395,821,3216,58,True,0,0
0,8,0,0,0,2,0,2,7,17.4,1,0,188,0,0,112,0,2,0,4.4,6185,9.6,1,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,45,0,0,2,0,0,0,0,2,0,12,0,47866,4,0,0,0,4,17.0,1,-2316,735,3051,57,False,0,0
0,4,0,0,0,1,0,0,1,1.1,0,0,188,0,0,122,2,0,0,0.0,6754,0.0,0,2017-11-26T16:00:00Z,26 Nov 16:00,0,0,4,0,0,11,0,0,0,0,0,0,13,0,46085,0,0,0,2,1,0.0,1,-1834,407,2241,57,True,0,0
0,27,0,0,0,4,0,1,17,15.8,1,0,188,0,0,135,1,4,0,5.1,7324,6.6,1,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,73,0,0,1,0,0,0,0,4,0,14,0,45157,4,0,0,0,5,29.0,2,-981,470,1451,57,False,0,0
0,5,0,0,0,1,0,0,2,1.3,0,0,188,0,0,145,1,1,0,0.0,7895,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,19,0,0,7,0,0,0,0,1,0,15,0,44392,1,0,0,0,2,0.0,1,-819,564,1383,57,False,0,0
0,29,0,0,3,55,1,3,23,26.7,1,0,188,0,0,153,1,0,2,17.3,8469,77.0,2,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,84,1,0,3,0,0,0,0,2,0,16,0,43478,2,0,2,0,2,69.0,13,-990,630,1620,57,True,1,0
0,14,1,0,0,7,0,0,10,16.1,0,0,188,0,0,163,0,3,0,2.0,9046,2.2,1,2017-12-12T20:00:00Z,12 Dec 20:00,0,0,73,2,0,5,0,0,0,0,2,0,17,0,53578,1,0,0,3,1,2.0,2,9695,10969,1274,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,179,0,0,0,0.0,9624,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,18,0,57189,0,0,0,4,1,0.0,0,3394,5983,2589,57,False,0,0
0,3,0,0,0,0,0,1,2,0.3,0,0,188,0,0,187,1,0,0,0.3,10204,3.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,8,0,0,14,0,0,0,0,2,0,19,0,56783,2,0,0,1,1,0.0,1,-659,5162,5821,57,False,0,0
0,14,0,0,0,5,0,1,10,1.8,0,0,188,0,0,194,1,1,0,1.4,10789,0.4,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,61,2,0,15,0,0,0,0,2,0,20,0,56413,0,2,2,1,1,12.0,2,-506,4586,5092,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,204,0,0,0,0.0,11375,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,4,0,0,0,0,0,0,21,0,56674,0,0,0,0,0,0.0,0,60,4429,4369,57,True,0,0
0,30,0,0,0,6,0,4,17,24.3,0,0,188,0,0,215,1,3,0,3.3,11901,8.4,2,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,90,1,0,9,0,0,0,0,1,0,22,0,53706,2,0,0,0,3,0.0,2,-3017,1313,4330,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,224,0,0,0,0.0,12553,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,20,0,0,0,0,0,0,23,0,51914,0,0,0,4,1,0.0,0,-1975,2925,4900,57,True,0,0
0,19,0,0,0,-1,0,1,7,2.8,0,0,188,0,0,238,4,2,0,1.3,13151,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,90,0,0,15,0,0,0,0,0,0,24,0,48409,2,0,1,0,2,11.0,2,-3568,703,4271,57,False,0,0
0,9,0,0,0,4,0,2,6,0.6,0,0,188,0,0,241,2,2,0,0.1,13754,0.0,0,2018-01-30T20:00:00Z,30 Jan 20:00,0,0,62,0,0,10,0,0,0,0,0,0,25,0,46516,1,0,0,3,0,0.0,2,-1949,477,2426,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,188,0,0,258,0,0,0,0.0,14367,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,12,0,0,0,0,0,0,26,0,44723,0,0,0,0,2,0.0,0,-1825,168,1993,57,False,0,0
