assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,590,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,17,0,0,0,0,22,0,8297,1,0,0.0,0,7814,9378,1564,65,False,0
0,0,0,0,0.0,590,224,0,0,0.0,0.0,2020-01-19T16:30:00Z,0,12,0,0,0,0,23,0,7565,0,2,0.0,0,-759,2469,3228,65,True,0
0,0,5,0,7.3,590,237,1,0,2.0,4.6,2020-01-23T20:00:00Z,57,20,0,0,0,0,24,0,6773,2,1,8.0,1,-808,1850,2658,65,False,0
0,0,0,0,0.0,590,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,6773,2,0,0.0,0,-808,1850,2658,65,False,0
0,0,-3,0,0.0,590,245,0,0,0.1,0.0,2020-02-01T15:00:00Z,9,16,0,0,0,0,25,0,7957,0,4,4.0,1,845,3615,2770,65,True,0
0,0,0,0,0.0,590,257,0,0,0.0,0.0,2020-02-15T17:30:00Z,0,14,0,0,0,0,26,0,5902,1,0,0.0,0,-2140,501,2641,64,False,0
0,0,0,0,0.0,590,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,19,0,0,0,0,27,0,4498,2,3,0.0,0,-1524,254,1778,63,True,0
0,0,4,0,1.4,590,279,0,0,0.3,1.4,2020-02-29T17:30:00Z,11,18,0,0,0,0,28,0,3915,0,3,0.0,1,-632,116,748,62,False,0
0,0,0,0,0.0,590,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,3,0,0,0,0,29,0,3693,1,2,0.0,0,-303,182,485,61,True,0
0,0,-3,0,1.8,590,294,0,0,2.5,0.4,2020-06-21T18:00:00Z,45,8,0,0,0,0,39,0,4339,0,0,23.0,1,503,1472,969,60,False,0
0,0,5,0,2.5,590,304,0,0,1.1,2.2,2020-06-24T19:15:00Z,16,7,0,0,0,0,40,0,4489,0,4,6.0,1,42,436,394,60,True,0
0,0,2,0,0.1,590,317,0,0,0.0,0.0,2020-07-02T19:15:00Z,5,11,0,0,0,0,41,0,4588,0,4,0.0,1,33,436,403,60,False,0
0,0,0,0,0.0,590,324,0,0,0.0,0.0,2020-07-05T15:30:00Z,0,2,0,0,0,0,42,0,4929,0,2,0.0,0,212,722,510,60,True,0
