assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,167,0.0,0,0,0.0,9260.0,0.0,0.0,2018-12-16T13:30:00Z,16 Dec 13:30,0.0,0.0,1,0.0,0.0,1,0,0.0,0,0,0.0,0,17,0,0,0.0,0.0,0.0,2,3,0.0,1,0,0,0,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,176,0.0,0,0,0.0,9822.0,0.0,0.0,2018-12-22T15:00:00Z,22 Dec 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,18,0,43,0.0,0.0,0.0,3,1,0.0,0,29,38,9,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,188,0.0,0,0,0.0,10387.0,0.0,0.0,2018-12-27T19:45:00Z,27 Dec 19:45,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,19,0,57,0.0,0.0,0.0,2,1,0.0,0,8,24,16,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,198,0.0,0,0,0.0,10955.0,0.0,0.0,2018-12-30T14:15:00Z,30 Dec 14:15,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,20,0,73,0.0,0.0,0.0,3,1,0.0,0,10,28,18,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,204,0.0,0,0,0.0,11523.0,0.0,0.0,2019-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,21,0,85,0.0,0.0,0.0,0,0,0.0,0,2,19,17,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,217,0.0,0,0,0.0,12093.0,0.0,0.0,2019-01-12T15:00:00Z,12 Jan 15:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,22,0,112,0.0,0.0,0.0,2,1,0.0,0,8,36,28,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,228,0.0,0,0,0.0,12667.0,0.0,0.0,2019-01-19T15:00:00Z,19 Jan 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,23,0,114,0.0,0.0,0.0,1,2,0.0,0,2,18,16,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,239,0.0,0,0,0.0,13246.0,0.0,0.0,2019-01-30T19:45:00Z,30 Jan 19:45,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,24,0,136,0.0,0.0,0.0,1,1,0.0,0,-1,22,23,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,242,0.0,0,0,0.0,13886.0,0.0,0.0,2019-02-02T15:00:00Z,02 Feb 15:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,25,0,141,0.0,0.0,0.0,1,1,0.0,0,3,16,13,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,562,0.0,0.0,257,0.0,0,0,0.0,14483.0,0.0,0.0,2019-02-09T15:00:00Z,09 Feb 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,26,0,159,0.0,0.0,0.0,2,1,0.0,0,8,33,25,45,True,0.0,0
