assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,43.0,0.0,0.0,0,8,0,2.0,25.0,10.4,0.0,0.0,167,0.0,0.0,4,1.0,2,0,1.9,167.0,4.6,1.0,2016-08-13T11:30:00Z,13 Aug 12:30,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,5.0,0,1,0,862987,0.0,0.0,0.0,1,2,4.0,1,0,0,0,50,False,0.0,0
0,19.0,0.0,0.0,0,24,1,9.0,14.0,0.3,0.0,0.0,167,0.0,0.0,13,1.0,0,0,2.3,692.0,20.2,0.0,2016-08-20T16:30:00Z,20 Aug 17:30,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,4.0,0,2,0,842202,0.0,1.0,0.0,0,0,2.0,6,-63425,5361,68786,50,True,0.0,0
0,30.0,0.0,0.0,0,26,0,11.0,22.0,0.6,0.0,0.0,167,0.0,0.0,25,1.0,1,1,7.6,1232.0,51.2,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,2.0,0,3,0,854393,0.0,0.0,1.0,1,2,24.0,8,-15271,25357,40628,50,True,1.0,0
0,27.0,0.0,0.0,0,16,0,5.0,19.0,0.2,0.0,0.0,167,0.0,0.0,34,0.0,4,0,2.3,1782.0,23.2,0.0,2016-09-10T16:30:00Z,10 Sep 17:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,6.0,0,4,0,923615,2.0,4.0,0.0,1,4,0.0,0,29394,72810,43416,50,False,0.0,0
0,34.0,0.0,0.0,0,21,1,4.0,26.0,0.3,0.0,0.0,167,0.0,0.0,44,2.0,0,0,0.8,2363.0,6.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,3.0,0,5,0,905619,0.0,0.0,0.0,0,3,2.0,6,-27131,17602,44733,50,True,0.0,0
0,13.0,0.0,0.0,0,15,0,12.0,8.0,10.3,0.0,0.0,167,0.0,0.0,54,0.0,4,0,3.1,2947.0,18.8,1.0,2016-09-24T11:30:00Z,24 Sep 12:30,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,1.0,0,6,0,927365,0.0,1.0,0.0,1,4,2.0,0,7886,48000,40114,50,False,0.0,0
0,35.0,0.0,0.0,0,23,1,6.0,29.0,0.2,1.0,0.0,167,0.0,0.0,64,0.0,0,0,1.3,3533.0,12.4,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,2.0,0,7,0,898313,3.0,0.0,0.0,0,0,0.0,6,-34195,15843,50038,50,True,0.0,0
0,28.0,0.0,0.0,0,15,0,10.0,23.0,0.4,0.0,0.0,167,0.0,0.0,73,1.0,3,0,2.8,4122.0,23.2,0.0,2016-10-15T11:30:00Z,15 Oct 12:30,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,9.0,0,8,0,890464,0.0,1.0,0.0,0,3,4.0,1,-14619,17226,31845,50,False,0.0,0
0,30.0,0.0,0.0,0,16,0,10.0,21.0,0.5,0.0,0.0,167,0.0,0.0,86,0.0,1,0,4.3,4714.0,36.8,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,3.0,0,9,0,829822,0.0,1.0,0.0,1,3,6.0,2,-62610,6518,69128,50,True,0.0,0
0,16.0,0.0,0.0,0,8,0,5.0,11.0,0.2,0.0,0.0,167,0.0,0.0,98,2.0,1,0,1.4,5308.0,13.4,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,2.0,0,10,0,804104,0.0,1.0,0.0,1,1,0.0,2,-27423,3988,31411,50,False,0.0,0
0,34.0,0.0,0.0,0,6,0,3.0,22.0,0.3,0.0,0.0,167,0.0,0.0,106,1.0,2,0,0.5,5906.0,5.0,0.0,2016-11-06T16:30:00Z,06 Nov 16:30,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,1.0,0,11,0,805585,0.0,0.0,0.0,2,1,0.0,1,-1159,22522,23681,50,True,0.0,0
